State,ANSI Code,Year,Total,Aged,Blind and Disabled,Under 18,18-64,65 or older,SSI recipients also receiving OASDI
Vermont,50,2007,13881,1090,12791,1740,9665,2476,6355
Virginia,51,2007,140678,20011,120667,23323,82629,34726,49861
Washington,52,2007,121667,15250,106417,15720,77872,28075,34086
West Virginia,54,2007,78962,3819,75143,9219,57768,11975,25351
Wisconsin,55,2007,96101,7961,88140,17958,62254,15889,33885
Wyoming,56,2007,5823,385,5438,849,4140,834,2277
Outlying area,,,,,,,,,
Northern Mariana Islands,57,2007,825,129,696,250,407,168,192
Unknown,58,2007,128,29,99,15,67,46,67
Alabama,01,2008,166781,14405,152376,29270,105760,31751,63670
Alaska,02,2008,11654,2015,9639,1232,7357,3065,4016
Arizona,04,2008,103252,13808,89444,19022,59492,24738,33066
Arkansas,05,2008,98870,7822,91048,22850,59036,16984,37872
California,06,2008,1270223,370828,899395,105712,611664,552847,503874
Colorado,08,2008,60004,8856,51148,7721,37623,14660,21338
Connecticut,09,2008,55453,6665,48788,7350,35064,13039,17354
Delaware,10,2008,14837,1281,13556,3472,8849,2516,4629
District of Columbia,11,2008,22720,1926,20794,4452,14089,4179,5482
Florida,12,2008,445338,102998,342340,84305,212054,148979,146769
Georgia,13,2008,212977,25488,187489,37567,125413,49997,76607
Hawaii,15,2008,23698,6229,17469,1624,13554,8520,7849
Idaho,16,2008,24695,1824,22871,4734,16465,3496,8780
Illinois,17,2008,265563,30489,235074,45150,161220,59193,68465
Indiana,18,2008,108148,5617,102531,23621,71977,12550,34221
Iowa,19,2008,45413,3385,42028,7686,30811,6916,17451
Kansas,20,2008,41892,3140,38752,7869,27516,6507,14816
Kentucky,21,2008,186465,12093,174372,29666,123955,32844,65049
Louisiana,22,2008,165767,15511,150256,32794,99599,33374,55828
Maine,23,2008,33873,2124,31749,3720,24898,5255,14497
Maryland,24,2008,100995,15183,85812,16222,59826,24947,28243
Massachusetts,25,2008,182208,45760,136448,20895,112059,49254,66362
Michigan,26,2008,232524,16321,216203,39064,156184,37276,74128
Minnesota,27,2008,80645,10351,70294,12282,50564,17799,25084
Mississippi,28,2008,122467,12377,110090,22962,72074,27431,48035
Missouri,29,2008,124428,8530,115898,21287,83794,19347,44840
Montana,30,2008,16055,1077,14978,2264,11233,2558,6172
Nebraska,31,2008,23713,2003,21710,3793,15983,3937,9242
Nevada,32,2008,37022,9400,27622,6873,20147,10002,11845
New Hampshire,33,2008,15849,847,15002,2219,11736,1894,5821
New Jersey,34,2008,159564,33984,125580,23761,83175,52628,50914
New Mexico,35,2008,57631,8351,49280,8503,33160,15968,22089
New York,36,2008,656968,133942,523026,77369,346175,233424,218682
North Carolina,37,2008,208457,22358,186099,40606,122118,45733,80939
North Dakota,38,2008,8021,854,7167,1036,5312,1673,3481
Ohio,39,2008,265285,15004,250281,45890,181407,37988,77043
Oklahoma,40,2008,88095,7064,81031,16275,56924,14896,30203
Oregon,41,2008,66446,8153,58293,8888,43501,14057,22785
Pennsylvania,42,2008,340096,27076,313020,66322,212753,61021,98541
Rhode Island,44,2008,31585,3835,27750,4169,20084,7332,12149
South Carolina,45,2008,107336,10591,96745,19659,64463,23214,40729
South Dakota,46,2008,13071,1531,11540,2203,7861,3007,5130
Tennessee,47,2008,165229,14560,150669,23823,108056,33350,61962
Texas,48,2008,566504,107284,459220,112879,288724,164901,204646
Utah,49,2008,25447,2402,23045,4764,16429,4254,7707
Vermont,50,2008,14342,1028,13314,1793,10098,2451,6564
Virginia,51,2008,142022,19643,122379,23266,84368,34388,49941
Washington,52,2008,125062,15440,109622,16059,80291,28712,34798
West Virginia,54,2008,79788,3562,76226,9281,58693,11814,25544
Wisconsin,55,2008,99133,7722,91411,18505,64771,15857,34776
Wyoming,56,2008,5918,368,5550,837,4252,829,2291
Outlying area,,,,,,,,,
Northern Mariana Islands,57,2008,848,125,723,270,414,164,185
Unknown,58,2008,124,26,98,8,71,45,56
Alabama,01,2009,169341,13368,155973,29965,108629,30747,63842
Alaska,02,2009,12023,1971,10052,1291,7664,3068,4083
Arizona,04,2009,106289,14034,92255,19952,61010,25327,33803
Arkansas,05,2009,102736,7315,95421,25141,61246,16349,38026
California,06,2009,1248404,358546,889858,109318,600768,538318,472442
Colorado,08,2009,62048,9078,52970,8103,38919,15026,21813
Connecticut,09,2009,56297,6713,49584,7630,35364,13303,17643
Delaware,10,2009,15384,1302,14082,3577,9253,2554,4806
District of Columbia,11,2009,23470,1905,21565,4434,14873,4163,5616
Florida,12,2009,464260,106370,357890,89075,221428,153757,152302
Georgia,13,2009,220397,24964,195433,39251,131317,49829,77386
Hawaii,15,2009,24330,6157,18173,1692,14092,8546,8058
Idaho,16,2009,26063,1857,24206,5095,17341,3627,9187
Illinois,17,2009,269353,30538,238815,45223,164514,59616,70193
Indiana,18,2009,112896,5618,107278,24860,75256,12780,35609
Iowa,19,2009,46640,3306,43334,7913,31826,6901,17809
Kansas,20,2009,43982,3124,40858,8347,29041,6594,15396
Kentucky,21,2009,189204,11477,177727,30290,126481,32433,65545
Louisiana,22,2009,169859,14728,155131,34252,102843,32764,56029
Maine,23,2009,34515,2030,32485,3861,25443,5211,14720
Maryland,24,2009,103205,15015,88190,16495,61915,24795,28590
Massachusetts,25,2009,186332,46293,140039,21830,114789,49713,67321
Michigan,26,2009,242912,16404,226508,40812,164253,37847,76974
Minnesota,27,2009,83283,10357,72926,12609,52509,18165,26099
Mississippi,28,2009,124019,11562,112457,23860,73741,26418,47753
Missouri,29,2009,128205,8182,120023,21782,87262,19161,45688
Montana,30,2009,16677,1042,15635,2423,11692,2562,6360
Nebraska,31,2009,24553,1970,22583,3980,16659,3914,9416
Nevada,32,2009,38870,9692,29178,7269,21290,10311,12336
New Hampshire,33,2009,16666,846,15820,2274,12512,1880,6093
New Jersey,34,2009,162944,34187,128757,24318,85485,53141,51687
New Mexico,35,2009,59130,8309,50821,8942,34114,16074,22345
New York,36,2009,666561,132435,534126,80029,353115,233417,222055
North Carolina,37,2009,213405,21520,191885,41342,127015,45048,81418
North Dakota,38,2009,8162,811,7351,1086,5442,1634,3464
Ohio,39,2009,273980,14904,259076,47444,188094,38442,79789
Oklahoma,40,2009,90830,6817,84013,17116,58966,14748,30692
Oregon,41,2009,70461,8395,62066,9390,46424,14647,23889
Pennsylvania,42,2009,347222,26316,320906,67966,218082,61174,100104
Rhode Island,44,2009,31644,3610,28034,4358,20185,7101,11717
South Carolina,45,2009,109513,10045,99468,20118,66712,22683,40614
South Dakota,46,2009,13531,1524,12007,2347,8180,3004,5189
Tennessee,47,2009,169340,14090,155250,24743,111854,32743,62836
Texas,48,2009,590338,107017,483321,120530,303403,166405,209408
Utah,49,2009,26693,2462,24231,5078,17234,4381,8021
Vermont,50,2009,14649,1005,13644,1810,10363,2476,6638
Virginia,51,2009,144448,19424,125024,23598,86549,34301,50253
Washington,52,2009,130833,15977,114856,16735,84231,29867,36341
West Virginia,54,2009,79923,3302,76621,9301,58904,11718,25540
Wisconsin,55,2009,103524,7505,96019,19689,67980,15855,35989
Wyoming,56,2009,6194,346,5848,928,4450,816,2351
Outlying area,,,,,,,,,
Northern Mariana Islands,57,2009,901,125,776,296,444,161,190
Unknown,58,2009,247,69,178,20,132,95,181
Alabama,01,2010,172223,12500,159723,30040,112235,29948,64310
Alaska,02,2010,12269,1890,10379,1255,7986,3028,4166
Arizona,04,2010,110011,14455,95556,20541,63413,26057,35045
Arkansas,05,2010,106526,6924,99602,26954,63635,15937,38635
California,06,2010,1267711,359269,908442,111162,612120,544429,484739
Colorado,08,2010,65720,9050,56670,8665,41816,15239,22863
Connecticut,09,2010,58257,6617,51640,7971,36899,13387,18233
Delaware,10,2010,15865,1296,14569,3619,9673,2573,4866
District of Columbia,11,2010,24371,1886,22485,4361,15818,4192,5858
Florida,12,2010,485172,109374,375798,93016,233904,158252,159453
Georgia,13,2010,228510,24825,203685,41166,137490,49854,78978
Hawaii,15,2010,24945,6086,18859,1730,14652,8563,8327
Idaho,16,2010,27294,1883,25411,5319,18246,3729,9583
Illinois,17,2010,273310,30419,242891,44774,168608,59928,72344
Indiana,18,2010,118065,5534,112531,25670,79584,12811,36954
Iowa,19,2010,47687,3227,44460,7964,32859,6864,18153
Kansas,20,2010,45793,3160,42633,8768,30310,6715,16142
Kentucky,21,2010,192076,11033,181043,30299,129517,32260,66560
Louisiana,22,2010,174731,14045,160686,35557,106972,32202,56927
Maine,23,2010,35426,1988,33438,3880,26271,5275,15080
Maryland,24,2010,107636,14923,92713,16950,65861,24825,29793
Massachusetts,25,2010,192814,46965,145849,23154,119147,50513,69462
Michigan,26,2010,253532,16522,237010,41477,173641,38414,80031
Minnesota,27,2010,86506,10403,76103,12974,54886,18646,27107
Mississippi,28,2010,125507,10990,114517,24008,75860,25639,47813
Missouri,29,2010,133895,7975,125920,22762,92052,19081,47167
Montana,30,2010,17532,1290,16242,2524,12190,2818,6583
Nebraska,31,2010,25613,1973,23640,4075,17588,3950,9626
Nevada,32,2010,41269,10078,31191,7746,22850,10673,13053
New Hampshire,33,2010,17910,905,17005,2397,13547,1966,6558
New Jersey,34,2010,168423,34284,134139,24853,89816,53754,53733
New Mexico,35,2010,60487,8256,52231,9097,35199,16191,22884
New York,36,2010,680057,131282,548775,83420,362128,234509,228910
North Carolina,37,2010,219570,20886,198684,41821,133281,44468,82346
North Dakota,38,2010,8277,779,7498,1090,5571,1616,3495
Ohio,39,2010,285569,14794,270775,48695,198026,38848,83313
Oklahoma,40,2010,93855,6650,87205,17751,61483,14621,31550
Oregon,41,2010,74860,8634,66226,9955,49762,15143,25140
Pennsylvania,42,2010,358197,25821,332376,70136,226520,61541,103413
Rhode Island,44,2010,32809,3539,29270,4592,21048,7169,12106
South Carolina,45,2010,112094,9674,102420,20282,69337,22475,40894
South Dakota,46,2010,13812,1451,12361,2421,8451,2940,5226
Tennessee,47,2010,174486,13637,160849,25009,117045,32432,63970
Texas,48,2010,616968,106972,509996,129803,319132,168033,215932
Utah,49,2010,28106,2515,25591,5257,18347,4502,8535
Vermont,50,2010,15265,1018,14247,1866,10929,2470,6882
Virginia,51,2010,148501,19033,129468,24077,90515,33909,51160
Washington,52,2010,137546,16258,121288,17267,89686,30593,38514
West Virginia,54,2010,80367,3144,77223,9216,59526,11625,25788
Wisconsin,55,2010,107571,7288,100283,20596,71042,15933,37197
Wyoming,56,2010,6337,330,6007,969,4578,790,2378
Outlying area,,,,,,,,,
Northern Mariana Islands,57,2010,933,123,810,318,455,160,188
Alabama,01,2011,174853,11619,163234,29984,115595,29274,63764
Alaska,02,2011,12719,1853,10866,1292,8385,3042,4318
Arizona,04,2011,112939,14704,98235,20867,65469,26603,35683
Arkansas,05,2011,109660,6503,103157,28700,65523,15437,38215
California,06,2011,1284629,358415,926214,115450,622147,547032,485043
Colorado,08,2011,68815,9110,59705,9132,44176,15507,23270
Connecticut,09,2011,59784,6570,53214,8274,37889,13621,18423
Delaware,10,2011,16240,1266,14974,3639,10035,2566,4937
District of Columbia,11,2011,25633,1904,23729,4446,16958,4229,5989
Florida,12,2011,506458,113031,393427,97471,245422,163565,163842
Georgia,13,2011,238903,24769,214134,43522,145357,50024,80094
Hawaii,15,2011,25356,5977,19379,1753,15043,8560,8318
Idaho,16,2011,28213,1864,26349,5397,19015,3801,9716
Illinois,17,2011,276258,30385,245873,44688,170989,60581,72453
Indiana,18,2011,122130,5503,116627,25995,83104,13031,37176
Iowa,19,2011,48927,3205,45722,8056,33983,6888,18131
Kansas,20,2011,47336,3111,44225,9137,31439,6760,16144
Kentucky,21,2011,192721,10588,182133,29922,130739,32060,65840
Louisiana,22,2011,178806,13493,165313,36531,110318,31957,57276
Maine,23,2011,36259,1957,34302,4010,26910,5339,15069
Maryland,24,2011,111494,14942,96552,17660,68857,24977,30414
Massachusetts,25,2011,197327,47866,149461,23938,122107,51282,69564
Michigan,26,2011,264706,16703,248003,42370,183112,39224,82119
Minnesota,27,2011,88768,10330,78438,13096,56778,18894,27139
Mississippi,28,2011,126223,10402,115821,24136,77157,24930,46757
Missouri,29,2011,137167,7678,129489,23405,94784,18978,46847
Montana,30,2011,18196,1268,16928,2568,12785,2843,6696
Nebraska,31,2011,26501,2017,24484,4174,18291,4036,9665
Nevada,32,2011,44064,10598,33466,8432,24333,11299,13750
New Hampshire,33,2011,18695,902,17793,2479,14184,2032,6545
New Jersey,34,2011,173000,34516,138484,25533,93171,54296,54320
New Mexico,35,2011,61806,8542,53264,9221,35965,16620,23485
New York,36,2011,689019,130354,558665,85549,367198,236272,231557
North Carolina,37,2011,224962,20192,204770,42740,138172,44050,81576
North Dakota,38,2011,8349,732,7617,1069,5710,1570,3381
Ohio,39,2011,295042,14713,280329,49346,206007,39689,85112
Oklahoma,40,2011,95644,6489,89155,18260,62846,14538,31391
Oregon,41,2011,78143,8804,69339,10272,52169,15702,25815
Pennsylvania,42,2011,367586,25292,342294,72886,232659,62041,104151
Rhode Island,44,2011,32218,3263,28955,4725,20737,6756,10833
South Carolina,45,2011,114974,9307,105667,20737,72155,22082,40402
South Dakota,46,2011,14151,1481,12670,2489,8688,2974,5144
Tennessee,47,2011,179325,13213,166112,25339,121844,32142,64093
Texas,48,2011,640422,107086,533336,137621,332522,170279,219700
Utah,49,2011,29447,2588,26859,5475,19298,4674,8829
Vermont,50,2011,15652,1036,14616,1900,11260,2492,6887
Virginia,51,2011,151013,18846,132167,24049,93004,33960,50976
Washington,52,2011,142932,16506,126426,17728,93806,31398,39681
West Virginia,54,2011,80796,2988,77808,9132,60031,11633,25744
Wisconsin,55,2011,110959,7153,103806,21205,73647,16107,37345
Wyoming,56,2011,6531,334,6197,978,4743,810,2445
Outlying areas,,,,,,,,,
Northern Mariana Islands,57,2011,1022,138,884,344,494,184,195
Alabama,01,2012,177045,10877,166168,29893,118201,28951,64307
Alaska,02,2012,12944,1855,11089,1326,8486,3132,4339
Arizona,04,2012,116106,15009,101097,21168,67601,27337,36921
Arkansas,05,2012,112110,6201,105909,29848,67030,15232,38906
California,06,2012,1294393,357818,936575,117775,624218,552400,490887
Colorado,08,2012,70743,9132,61611,9536,45468,15739,23817
Connecticut,09,2012,61351,6674,54677,8630,38657,14064,19026
Delaware,10,2012,16494,1257,15237,3650,10255,2589,4977
District of Columbia,11,2012,26597,1908,24689,4415,17860,4322,6268
Florida,12,2012,528321,117700,410621,103098,254867,170356,170296
Georgia,13,2012,247951,24722,223229,45271,151984,50696,82568
Hawaii,15,2012,25299,5938,19361,1737,14912,8650,8617
Idaho,16,2012,29440,1847,27593,5638,19929,3873,10049
Illinois,17,2012,278013,30224,247789,44013,172735,61265,74110
Indiana,18,2012,125087,5491,119596,25793,85895,13399,38380
Iowa,19,2012,49751,3144,46607,8248,34559,6944,18491
Kansas,20,2012,48488,3011,45477,9609,32105,6774,16556
Kentucky,21,2012,192571,10186,182385,29633,130897,32041,66148
Louisiana,22,2012,180943,12976,167967,37249,111925,31769,58011
Maine,23,2012,37029,1883,35146,4192,27439,5398,15425
Maryland,24,2012,115096,14926,100170,18477,71226,25393,31164
Massachusetts,25,2012,185788,21968,163820,23888,115882,46018,57025
Michigan,26,2012,271777,17182,254595,43238,187893,40646,84405
Minnesota,27,2012,91559,10380,81179,13633,58437,19489,27925
Mississippi,28,2012,126642,9910,116732,24194,77991,24457,46990
Missouri,29,2012,140169,7486,132683,23722,97318,19129,48374
Montana,30,2012,18590,1258,17332,2610,13049,2931,6867
Nebraska,31,2012,27150,2063,25087,4243,18740,4167,9933
Nevada,32,2012,46318,11114,35204,8868,25567,11883,14426
New Hampshire,33,2012,19233,867,18366,2597,14604,2032,6662
New Jersey,34,2012,177344,34946,142398,26258,95734,55352,55897
New Mexico,35,2012,63383,8649,54734,9450,37032,16901,24337
New York,36,2012,696905,129794,567111,88575,369299,239031,236669
North Carolina,37,2012,230698,19681,211017,43917,142827,43954,82783
North Dakota,38,2012,8481,730,7751,1088,5811,1582,3366
Ohio,39,2012,304067,14757,289310,51006,212287,40774,87602
Oklahoma,40,2012,97173,6387,90786,18536,64047,14590,31924
Oregon,41,2012,81019,8949,72070,10677,54064,16278,26648
Pennsylvania,42,2012,376894,24942,351952,76179,237526,63189,106447
Rhode Island,44,2012,32737,3270,29467,4765,21076,6896,11084
South Carolina,45,2012,117113,8976,108137,20689,74371,22053,41263
South Dakota,46,2012,14681,1463,13218,2574,9109,2998,5296
Tennessee,47,2012,182971,12750,170221,25679,125129,32163,65219
Texas,48,2012,657031,106162,550869,144079,341339,171613,223566
Utah,49,2012,30747,2686,28061,5706,20180,4861,9153
Vermont,50,2012,15889,1024,14865,1869,11503,2517,6991
Virginia,51,2012,153280,18708,134572,24209,94918,34153,51560
Washington,52,2012,147491,16835,130656,18300,96798,32393,41091
West Virginia,54,2012,80091,2857,77234,8790,59555,11746,25711
Wisconsin,55,2012,114135,7144,106991,21966,75785,16384,38538
Wyoming,56,2012,6708,327,6381,1027,4847,834,2534
Outlying area,,,,,,,,,
Northern Mariana Islands,57,2012,1041,144,897,330,517,194,202
Alabama,01,2013,176562,10048,166514,29120,119089,28353,63250
Alaska,02,2013,12689,1832,10857,1301,8246,3142,4297
Arizona,04,2013,118216,15331,102885,21236,68952,28028,37583
Arkansas,05,2013,112741,5834,106907,30289,67495,14957,38239
California,06,2013,1304222,358906,945316,119647,626357,558218,494539
Colorado,08,2013,72154,9085,63069,9786,46413,15955,23904
Connecticut,09,2013,62537,6648,55889,8924,39266,14347,19385
Delaware,10,2013,16697,1223,15474,3709,10372,2616,4911
District of Columbia,11,2013,26806,1932,24874,4186,18150,4470,6324
Florida,12,2013,548178,122646,425532,106362,264299,177517,175057
Georgia,13,2013,253498,24371,229127,46047,156450,51001,82663
Hawaii,15,2013,25342,5855,19487,1705,14929,8708,8698
Idaho,16,2013,30317,1800,28517,5765,20613,3939,10211
Illinois,17,2013,278543,30205,248338,43238,173206,62099,74663
Indiana,18,2013,127355,5476,121879,25477,88273,13605,38551
Iowa,19,2013,50849,3140,47709,8410,35388,7051,18584
Kansas,20,2013,49071,2956,46115,9710,32565,6796,16505
Kentucky,21,2013,190721,9753,180968,28875,129941,31905,64906
Louisiana,22,2013,181598,12733,168865,36795,112981,31822,58560
Maine,23,2013,37428,1796,35632,4270,27838,5320,15342
Maryland,24,2013,117605,14985,102620,18922,72999,25684,31575
Massachusetts,25,2013,188015,22049,165966,24183,116928,46904,56920
Michigan,26,2013,277210,17808,259402,43313,191756,42141,84913
Minnesota,27,2013,93748,10414,83334,13917,59840,19991,28115
Mississippi,28,2013,126240,9276,116964,24062,78388,23790,46136
Missouri,29,2013,142219,7354,134865,23855,99121,19243,48406
Montana,30,2013,18673,1258,17415,2607,13080,2986,6885
Nebraska,31,2013,27457,2095,25362,4196,18981,4280,9915
Nevada,32,2013,48817,11591,37226,9430,26951,12436,14940
New Hampshire,33,2013,19507,832,18675,2603,14905,1999,6641
New Jersey,34,2013,180354,35237,145117,26353,97792,56209,56680
New Mexico,35,2013,64300,8549,55751,9604,37628,17068,24540
New York,36,2013,698928,129427,569501,89438,368181,241309,238255
North Carolina,37,2013,234362,19050,215312,43946,146804,43612,82096
North Dakota,38,2013,8350,700,7650,1037,5755,1558,3257
Ohio,39,2013,311195,14945,296250,51460,217535,42200,88896
Oklahoma,40,2013,97616,6171,91445,18193,64955,14468,31845
Oregon,41,2013,83264,8998,74266,10748,55786,16730,27188
Pennsylvania,42,2013,379194,24571,354623,76358,238702,64134,106193
Rhode Island,44,2013,33133,3281,29852,4750,21375,7008,11175
South Carolina,45,2013,118384,8607,109777,20743,75845,21796,40914
South Dakota,46,2013,14833,1449,13384,2550,9242,3041,5274
Tennessee,47,2013,183784,12243,171541,25373,126405,32006,64235
Texas,48,2013,666258,105506,560752,147086,346185,172987,223890
Utah,49,2013,31093,2655,28438,5557,20572,4964,9243
Vermont,50,2013,15741,976,14765,1739,11487,2515,6861
Virginia,51,2013,153632,18394,135238,23864,95804,33964,51003
Washington,52,2013,150239,17004,133235,18347,98699,33193,41608
West Virginia,54,2013,79136,2693,76443,8440,58874,11822,25381
Wisconsin,55,2013,116715,6949,109766,22763,77380,16572,38849
Wyoming,56,2013,6888,334,6554,1069,4953,866,2550
Outlying area,,,,,,,,,
Northern Mariana Islands,57,2013,1063,147,916,323,541,199,199
Alabama,01,2014,174524,9574,164950,27624,118618,28282,62796
Alaska,02,2014,12399,1777,10622,1258,8040,3101,4280
Arizona,04,2014,119510,15780,103730,20978,69564,28968,38363
Arkansas,05,2014,111482,5560,105922,28863,67733,14886,37974
California,06,2014,1304400,360514,943886,118869,619855,565676,498979
Colorado,08,2014,72872,9071,63801,9991,46688,16193,23772
Connecticut,09,2014,63259,6681,56578,8938,39679,14642,19719
Delaware,10,2014,16687,1229,15458,3601,10428,2658,4963
District of Columbia,11,2014,26782,1979,24803,4079,18040,4663,6519
Florida,12,2014,561125,127975,433150,107287,268648,185190,179468
Georgia,13,2014,256314,24346,231968,46318,158291,51705,83754
Hawaii,15,2014,25235,5819,19416,1660,14797,8778,8808
Idaho,16,2014,30493,1807,28686,5576,20834,4083,10246
Illinois,17,2014,275671,30306,245365,41073,171403,63195,75560
Indiana,18,2014,127957,5448,122509,24593,89423,13941,38961
Iowa,19,2014,51227,3149,48078,8300,35824,7103,18548
Kansas,20,2014,48920,2953,45967,9516,32481,6923,16478
Kentucky,21,2014,188401,9607,178794,27941,128445,32015,64025
Louisiana,22,2014,181279,12377,168902,36143,113096,32040,58832
Maine,23,2014,37591,1787,35804,4262,27937,5392,15330
Maryland,24,2014,118184,15020,103164,18741,73404,26039,32111
Massachusetts,25,2014,188726,22213,166513,23980,116812,47934,57302
Michigan,26,2014,277309,18158,259151,41883,191686,43740,85175
Minnesota,27,2014,94207,10611,83596,13714,59844,20649,28074
Mississippi,28,2014,125595,8790,116805,23372,78828,23395,45633
Missouri,29,2014,142768,7241,135527,23610,99671,19487,48609
Montana,30,2014,18248,1287,16961,2427,12762,3059,6831
Nebraska,31,2014,27719,2169,25550,4105,19190,4424,9972
Nevada,32,2014,50919,12162,38757,9807,28093,13019,15590
New Hampshire,33,2014,19671,899,18772,2516,15034,2121,6695
New Jersey,34,2014,181606,35697,145909,25894,98369,57343,57868
New Mexico,35,2014,64059,8496,55563,9262,37578,17219,24647
New York,36,2014,653601,118456,535145,88442,340372,224787,199079
North Carolina,37,2014,235300,18590,216710,43410,148316,43574,81935
North Dakota,38,2014,8224,700,7524,1025,5599,1600,3182
Ohio,39,2014,313259,15226,298033,50469,219044,43746,89746
Oklahoma,40,2014,96975,6127,90848,17322,65073,14580,32051
Oregon,41,2014,85136,9099,76037,10735,57067,17334,27882
Pennsylvania,42,2014,374111,24297,349814,72103,236902,65106,105709
Rhode Island,44,2014,33280,3232,30048,4646,21539,7095,11208
South Carolina,45,2014,118354,8296,110058,20459,76209,21686,40971
South Dakota,46,2014,14905,1434,13471,2614,9252,3039,5228
Tennessee,47,2014,183890,11856,172034,24959,126835,32096,64133
Texas,48,2014,666301,105048,561253,146148,345640,174513,225103
Utah,49,2014,31212,2747,28465,5385,20661,5166,9256
Vermont,50,2014,15783,1000,14783,1627,11602,2554,6786
Virginia,51,2014,155501,18228,137273,23905,97541,34055,51399
Washington,52,2014,151262,17120,134142,18310,98797,34155,42424
West Virginia,54,2014,77715,2565,75150,8066,57771,11878,25237
Wisconsin,55,2014,117679,6904,110775,22627,78180,16872,39012
Wyoming,56,2014,6786,330,6456,1002,4908,876,2544
Outlying area,,,,,,,,,
Northern Mariana Islands,57,2014,1044,144,900,308,534,202,209
Alabama,01,2015,170844,9004,161840,25984,116893,27967,61379
Alaska,02,2015,12515,1784,10731,1249,8113,3153,4235
Arizona,04,2015,119715,16164,103551,19966,70027,29722,38482
Arkansas,05,2015,110053,5370,104683,27810,67515,14728,37232
California,06,2015,1292302,360394,931908,113894,608111,570297,495880
Colorado,08,2015,72806,9332,63474,9826,46242,16738,23570
Connecticut,09,2015,63736,6772,56964,8712,40072,14952,19840
Delaware,10,2015,16880,1239,15641,3576,10568,2736,4942
District of Columbia,11,2015,26886,2052,24834,4086,17881,4919,6582
Florida,12,2015,571293,134495,436798,105455,271621,194217,182353
Georgia,13,2015,258401,24484,233917,46238,159532,52631,83746
Hawaii,15,2015,24778,5698,19080,1539,14403,8836,8789
Idaho,16,2015,30774,1815,28959,5443,21092,4239,10249
Illinois,17,2015,274621,30509,244112,39621,170705,64295,75684
Indiana,18,2015,128781,5443,123338,24258,90281,14242,38877
Iowa,19,2015,51059,3169,47890,8016,35838,7205,18220
Kansas,20,2015,48360,2914,45446,9038,32329,6993,16131
Kentucky,21,2015,184103,9369,174734,26772,125447,31884,62453
Louisiana,22,2015,178954,11947,167007,34130,112837,31987,58266
Maine,23,2015,37328,1751,35577,4198,27737,5393,14920
Maryland,24,2015,120254,15152,105102,19194,74512,26548,32169
Massachusetts,25,2015,188207,22663,165544,23670,115468,49069,56801
Michigan,26,2015,275866,18444,257422,39846,190736,45284,84494
Minnesota,27,2015,94146,10710,83436,13586,59296,21264,27389
