State,ANSI Code,Year,Total,Aged,Blind and DIsabled,Under 18,18-64,65 or older
California,06,2004,687586,176581,511005,60824,366299,260462
Colorado,08,2004,23174,2538,20636,3301,15837,4036
Connecticut,09,2004,22633,2221,20411,3376,15210,4046
Delaware,10,2004,5791,332,5459,1579,3563,649
District of Columbia,11,2004,9865,572,9293,2270,6267,1329
Florida,12,2004,174538,30370,144169,40694,89552,44292
Georgia,13,2004,82096,6055,76041,16322,53378,12396
Hawaii,15,2004,10333,2393,7940,756,6319,3258
Idaho,16,2004,8872,362,8510,1902,6272,698
Illinois,17,2004,115678,10401,105278,23113,73038,19527
Indiana,18,2004,42168,1406,40762,10435,28674,3059
Iowa,19,2004,17466,776,16689,3285,12557,1624
Kansas,20,2004,16817,815,16003,3537,11577,1704
Kentucky,21,2004,75864,2790,73074,13739,53945,8180
Louisiana,22,2004,71105,3893,67212,16593,45672,8840
Maine,23,2004,12969,445,12524,1680,10164,1125
Maryland,24,2004,42186,4955,37231,7516,26703,7968
Massachusetts,25,2004,79436,16474,62961,9771,51944,17721
Michigan,26,2004,100551,5062,95490,19581,69973,10997
Minnesota,27,2004,30455,3094,27361,5216,20065,5175
Mississippi,28,2004,51416,2838,48579,11582,32910,6925
Missouri,29,2004,50440,2196,48244,10003,35528,4910
Montana,30,2004,5941,223,5718,987,4416,538
Nebraska,31,2004,9185,464,8721,1691,6577,917
Nevada,32,2004,13953,2585,11368,2834,8389,2730
New Hampshire,33,2004,5777,227,5550,854,4465,458
New Jersey,34,2004,68064,11948,56116,11321,38846,17897
New Mexico,35,2004,21123,2095,19028,3548,13408,4167
New York,36,2004,308654,50966,257688,39249,180492,88913
North Carolina,37,2004,78072,5045,73027,17964,48790,11318
North Dakota,38,2004,2867,211,2656,459,1988,420
Ohio,39,2004,111554,4157,107397,22219,79162,10173
Oklahoma,40,2004,32395,1737,30658,6620,22107,3669
Oregon,41,2004,25620,2198,23422,4070,17815,3735
Pennsylvania,42,2004,148980,9242,139738,30091,98594,20295
Rhode Island,44,2004,14150,1272,12878,2425,9317,2408
South Carolina,45,2004,42669,2489,40180,9285,27470,5914
South Dakota,46,2004,4810,336,4474,922,3165,724
Tennessee,47,2004,67458,3293,64165,11629,47447,8382
Texas,48,2004,186189,27227,158963,38697,106584,40908
Utah,49,2004,9579,704,8875,1862,6493,1223
Vermont,50,2004,5516,246,5270,847,4050,620
Virginia,51,2004,54710,5762,48947,10867,33958,9885
Washington,52,2004,52610,5309,47300,7152,36109,9349
West Virginia,54,2004,32894,817,32077,4392,25445,3057
Wisconsin,55,2004,37687,2024,35663,8233,25348,4106
Wyoming,56,2004,2301,78,2223,432,1693,176
Outlying area,,,,,,,,
Northern Mariana Islands,57,2004,377,53,324,123,185,69
Unknown,58,2004,1,0,1,1,0,0
Alabama,01,2005,70434,3306,67128,15398,47226,7810
Alaska,02,2005,4892,616,4277,564,3402,926
Arizona,04,2005,43862,4069,39794,9333,27167,7362
Arkansas,05,2005,38360,1647,36713,9932,24581,3847
California,06,2005,713587,183643,529944,64178,376130,273279
Colorado,08,2005,23859,2661,21199,3559,16051,4249
Connecticut,09,2005,23470,2309,21161,3609,15655,4207
Delaware,10,2005,5966,352,5614,1619,3666,681
District of Columbia,11,2005,10235,550,9685,2381,6518,1336
Florida,12,2005,186168,32999,153169,43018,95480,47670
Georgia,13,2005,87734,6085,81650,17963,57249,12522
Hawaii,15,2005,10702,2436,8267,809,6563,3330
Idaho,16,2005,9696,391,9305,2093,6835,769
Illinois,17,2005,121585,10650,110935,24489,76891,20205
Indiana,18,2005,45343,1387,43956,11198,31032,3114
Iowa,19,2005,18303,780,17524,3589,13058,1657
Kansas,20,2005,17422,826,16597,3757,11966,1700
Kentucky,21,2005,77786,2722,75064,14623,55025,8139
Louisiana,22,2005,64817,3476,61340,15077,41657,8082
Maine,23,2005,13423,424,12999,1808,10483,1133
Maryland,24,2005,44427,5079,39348,8014,28209,8204
Massachusetts,25,2005,82085,17062,65023,10514,53380,18191
Michigan,26,2005,105870,5141,100729,20914,73593,11363
Minnesota,27,2005,32721,3334,29388,5710,21389,5622
Mississippi,28,2005,52213,2693,49520,12365,33105,6743
Missouri,29,2005,52342,2192,50150,10612,36698,5032
Montana,30,2005,6233,214,6019,1062,4624,547
Nebraska,31,2005,9394,472,8921,1813,6626,955
Nevada,32,2005,14750,2823,11927,3108,8655,2987
New Hampshire,33,2005,6094,226,5868,950,4681,463
New Jersey,34,2005,70278,12273,58005,12319,39417,18542
New Mexico,35,2005,22578,2142,20437,3892,14375,4312
New York,36,2005,314365,52177,262189,42031,180488,91846
North Carolina,37,2005,82609,4989,77620,19182,52136,11291
North Dakota,38,2005,3018,203,2815,492,2114,412
Ohio,39,2005,117971,4276,113695,23735,83596,10640
Oklahoma,40,2005,34969,1708,33261,7439,23841,3689
Oregon,41,2005,27327,2344,24984,4273,19074,3980
Pennsylvania,42,2005,150173,8545,141628,31759,99089,19324
Rhode Island,44,2005,14616,1273,13344,2505,9672,2440
South Carolina,45,2005,44881,2421,42460,9801,29237,5842
South Dakota,46,2005,4914,332,4582,942,3248,725
Tennessee,47,2005,70748,3288,67460,12098,50233,8416
Texas,48,2005,206342,28051,178290,46463,117194,42685
Utah,49,2005,10718,762,9956,2080,7322,1316
Vermont,50,2005,5791,228,5563,965,4219,606
Virginia,51,2005,58036,5854,52182,11766,36221,10048
Washington,52,2005,56908,5572,51337,7937,39043,9928
West Virginia,54,2005,33958,816,33142,4610,26244,3104
Wisconsin,55,2005,40080,2078,38003,8902,26883,4295
Wyoming,56,2005,2467,83,2384,438,1846,183
Outlying area,,,,,,,,
Northern Mariana Islands,57,2005,353,43,309,112,180,60
Unknown,58,2005,79,17,62,7,48,24
Alabama,01,2006,72587,3161,69425,16029,48740,7817
Alaska,02,2006,5077,609,4468,598,3533,946
Arizona,04,2006,45774,4232,41542,9858,28205,7712
Arkansas,05,2006,40440,1595,38844,10845,25747,3848
California,06,2006,733497,188451,545046,66814,384549,282134
Colorado,08,2006,25175,2809,22366,3801,16876,4498
Connecticut,09,2006,24899,2343,22556,3834,16679,4386
Delaware,10,2006,6391,366,6025,1791,3888,713
District of Columbia,11,2006,10912,565,10347,2454,7073,1385
Florida,12,2006,191385,34766,156619,43898,97429,50058
Georgia,13,2006,90518,6273,84245,19257,58337,12924
Hawaii,15,2006,11134,2512,8622,836,6851,3446
Idaho,16,2006,10399,409,9990,2288,7286,825
Illinois,17,2006,124880,10996,113884,25277,78505,21097
Indiana,18,2006,46811,1427,45384,11986,31552,3273
Iowa,19,2006,18684,811,17873,3776,13174,1734
Kansas,20,2006,18096,848,17248,3989,12338,1769
Kentucky,21,2006,81708,2682,79026,15690,57620,8398
Louisiana,22,2006,69639,3518,66121,16550,44731,8357
Maine,23,2006,13829,442,13387,1898,10739,1192
Maryland,24,2006,45780,5277,40502,8306,28935,8540
Massachusetts,25,2006,86890,17887,69003,11518,56295,19077
Michigan,26,2006,109675,5294,104382,22055,75709,11911
Minnesota,27,2006,34988,3623,31365,6087,22744,6157
Mississippi,28,2006,52340,2567,49773,12604,33007,6729
Missouri,29,2006,53964,2209,51755,11196,37628,5139
Montana,30,2006,6755,223,6532,1187,4980,588
Nebraska,31,2006,9710,487,9223,1904,6793,1013
Nevada,32,2006,15846,3028,12818,3331,9292,3223
New Hampshire,33,2006,6706,233,6472,1048,5161,497
New Jersey,34,2006,72591,12697,59894,12621,40670,19300
New Mexico,35,2006,23896,2201,21695,4375,15027,4494
New York,36,2006,325075,53938,271137,42945,185923,96206
North Carolina,37,2006,85922,4979,80943,20368,54065,11489
North Dakota,38,2006,3176,211,2966,528,2216,433
Ohio,39,2006,122496,4476,118019,24841,86328,11327
Oklahoma,40,2006,37306,1716,35590,8188,25292,3826
Oregon,41,2006,28663,2518,26145,4535,19838,4289
Pennsylvania,42,2006,158833,8770,150063,34005,104570,20258
Rhode Island,44,2006,14889,1326,13563,2581,9761,2547
South Carolina,45,2006,45190,2418,42772,9995,29256,5938
South Dakota,46,2006,5166,346,4819,1098,3318,749
Tennessee,47,2006,72891,3271,69620,12880,51494,8517
Texas,48,2006,221136,28977,192159,52385,124124,44626
Utah,49,2006,11095,805,10291,2212,7510,1374
Vermont,50,2006,5987,234,5753,1022,4336,629
Virginia,51,2006,60228,6061,54168,12165,37637,10426
Washington,52,2006,59729,5908,53821,8325,40761,10643
West Virginia,54,2006,36001,787,35214,5033,27803,3165
Wisconsin,55,2006,41922,2129,39793,9449,27995,4478
Wyoming,56,2006,2436,72,2364,468,1787,181
Outlying area,,,,,,,,
Northern Mariana Islands,57,2006,395,43,351,142,192,61
Unknown,57,2006,60,10,51,7,38,16
Alabama,01,2007,76808,3068,73740,16932,51984,7892
Alaska,02,2007,5409,606,4803,621,3824,963
Arizona,04,2007,48579,4461,44118,10627,29743,8209
Arkansas,05,2007,44137,1539,42598,12301,27969,3866
California,06,2007,766271,193795,572476,70537,403001,292733
Colorado,08,2007,28167,2981,25185,4157,19214,4795
Connecticut,09,2007,26219,2407,23812,4065,17539,4616
Delaware,10,2007,6881,371,6510,1894,4242,746
District of Columbia,11,2007,11584,579,11006,2645,7526,1413
Florida,12,2007,202199,35278,166921,46834,103851,51514
Georgia,13,2007,98202,6427,91775,20926,63819,13457
Hawaii,15,2007,11844,2573,9271,856,7388,3601
Idaho,16,2007,11375,441,10934,2429,8058,888
Illinois,17,2007,131440,11364,120076,26365,83050,22025
Indiana,18,2007,52201,1463,50738,13305,35462,3434
Iowa,19,2007,20081,805,19276,4150,14128,1803
Kansas,20,2007,19649,891,18758,4343,13433,1873
Kentucky,21,2007,86852,2643,84209,16947,61205,8700
Louisiana,22,2007,75470,3551,71919,18425,48313,8732
Maine,23,2007,15492,440,15052,2106,12150,1236
Maryland,24,2007,49743,5411,44331,9077,31809,8857
Massachusetts,25,2007,91435,18740,72695,12592,58789,20054
Michigan,26,2007,118315,5401,112914,23339,82475,12501
Minnesota,27,2007,37990,3832,34158,6713,24694,6584
Mississippi,28,2007,55357,2479,52879,13321,35251,6785
Missouri,29,2007,57683,2208,55475,12117,40274,5292
Montana,30,2007,7329,232,7097,1294,5418,617
Nebraska,31,2007,10665,506,10158,2072,7538,1055
Nevada,32,2007,17282,3232,14050,3643,10209,3429
New Hampshire,33,2007,7380,238,7141,1170,5692,517
New Jersey,34,2007,76612,13161,63451,13369,43032,20211
New Mexico,35,2007,25975,2273,23701,4709,16592,4673
New York,36,2007,345893,55270,290622,46478,199120,100295
North Carolina,37,2007,93057,4993,88063,22215,59073,11769
North Dakota,38,2007,3293,204,3089,553,2316,425
Ohio,39,2007,132237,4615,127622,26766,93473,11997
Oklahoma,40,2007,40739,1736,39003,8862,27959,3918
Oregon,41,2007,31163,2637,28526,4888,21722,4554
Pennsylvania,42,2007,170133,8768,161365,37477,111543,21112
Rhode Island,44,2007,15854,1342,14512,2631,10570,2653
South Carolina,45,2007,48664,2402,46262,10701,31917,6046
South Dakota,46,2007,5558,354,5203,1179,3597,781
Tennessee,47,2007,77942,3228,74714,13577,55660,8704
Texas,48,2007,242628,29799,212829,59756,136300,46572
Utah,49,2007,12254,856,11397,2475,8289,1489
Vermont,50,2007,6663,245,6418,1071,4934,658
Virginia,51,2007,63129,6196,56932,12942,39365,10821
Washington,52,2007,64851,6177,58675,8932,44652,11268
West Virginia,54,2007,38249,766,37483,5326,29664,3259
Wisconsin,55,2007,45741,2149,43592,10446,30613,4682
Wyoming,56,2007,2638,79,2558,452,1989,197
Outlying area,,,,,,,,
Northern Mariana Islands,57,2007,427,47,380,149,213,65
UnKnown,58,2007,56,10,47,10,30,16
Alabama,01,2008,79426,2916,76510,17398,54113,7915
Alaska,02,2008,5385,615,4771,635,3746,1004
Arizona,04,2008,50340,4647,45693,11008,30712,8620
Arkansas,05,2008,46903,1443,45461,13443,29660,3800
California,06,2008,787864,198394,589470,73914,412299,301652
Colorado,08,2008,28695,3105,25591,4302,19365,5029
Connecticut,09,2008,27494,2454,25040,4330,18363,4802
Delaware,10,2008,7063,378,6685,1923,4359,782
District of Columbia,11,2008,12052,601,11450,2636,7950,1465
Florida,12,2008,212369,37786,174583,48374,109147,54848
Georgia,13,2008,103818,6542,97277,21722,68214,13883
Hawaii,15,2008,12294,2548,9745,896,7751,3647
Idaho,16,2008,11663,448,11214,2644,8067,951
Illinois,17,2008,135275,11579,123696,26624,86019,22632
Indiana,18,2008,55579,1494,54085,13844,38126,3609
Iowa,19,2008,20929,832,20097,4239,14828,1862
Kansas,20,2008,21293,893,20400,4399,14952,1942
Kentucky,21,2008,89611,2609,87003,17445,63298,8869
Louisiana,22,2008,79201,3480,75721,19272,51034,8895
Maine,23,2008,15905,439,15466,2071,12545,1288
Maryland,24,2008,51916,5559,46357,9333,33444,9139
Massachusetts,25,2008,95102,19483,75618,13009,61242,20851
Michigan,26,2008,123789,5611,118178,23573,87107,13109
Minnesota,27,2008,40135,3983,36152,6974,26172,6989
Mississippi,28,2008,56742,2370,54371,13358,36652,6732
Missouri,29,2008,60925,2235,58690,12364,43129,5431
Montana,30,2008,7514,240,7273,1280,5580,654
Nebraska,31,2008,11071,521,10550,2100,7874,1097
Nevada,32,2008,18256,3407,14849,3886,10764,3606
New Hampshire,33,2008,7604,257,7347,1239,5809,556
New Jersey,34,2008,79429,13496,65933,13708,44834,20886
New Mexico,35,2008,26800,2316,24484,4988,16960,4852
New York,36,2008,355615,55729,299886,47917,205221,102478
North Carolina,37,2008,96785,4963,91822,22968,61832,11985
North Dakota,38,2008,3549,205,3344,553,2562,435
Ohio,39,2008,139833,4722,135110,27522,99787,12524
Oklahoma,40,2008,42870,1693,41177,9439,29477,3953
Oregon,41,2008,32620,2717,29903,5055,22792,4773
Pennsylvania,42,2008,176163,8786,167377,38518,115922,21724
Rhode Island,44,2008,16415,1356,15059,2709,10986,2720
South Carolina,45,2008,50632,2310,48322,11097,33457,6078
South Dakota,46,2008,5766,361,5405,1188,3763,815
Tennessee,47,2008,79946,3187,76759,13836,57271,8839
Texas,48,2008,256344,30357,225988,64166,144099,48079
Utah,49,2008,12572,874,11697,2585,8460,1526
Vermont,50,2008,6838,242,6595,1127,5035,675
Virginia,51,2008,65104,6283,58821,12933,41112,11059
Washington,52,2008,66002,6400,59602,9231,44945,11826
West Virginia,54,2008,39546,740,38806,5456,30768,3322
Wisconsin,55,2008,48194,2143,46051,10689,32665,4840
Wyoming,56,2008,2677,75,2602,459,2019,199
Outlying area,,,,,,,,
Northern Mariana Islands,57,2008,457,44,412,171,223,63
UnKnown,58,2008,62,10,51,3,41,17
Alabama,01,2009,86378,2936,83442,18789,59297,8292
Alaska,02,2009,6008,636,5372,705,4233,1070
Arizona,04,2009,55526,5031,50494,12324,33819,9382
Arkansas,05,2009,51236,1430,49805,15612,31702,3922
California,06,2009,751465,181746,569718,74250,397782,279432
Colorado,08,2009,31319,3399,27920,4774,21055,5490
Connecticut,09,2009,29421,2603,26818,4731,19507,5183
Delaware,10,2009,7860,409,7451,2136,4881,843
District of Columbia,11,2009,13248,677,12570,2763,8899,1586
Florida,12,2009,235961,41522,194439,54719,121176,60066
Georgia,13,2009,114736,6859,107877,24325,75579,14832
Hawaii,15,2009,13197,2608,10589,979,8428,3790
Idaho,16,2009,13269,510,12760,3003,9192,1074
Illinois,17,2009,145461,12281,133180,28589,92644,24229
Indiana,18,2009,60787,1607,59180,15454,41420,3913
Iowa,19,2009,23189,890,22298,4718,16449,2022
Kansas,20,2009,23097,965,22132,5000,15988,2108
Kentucky,21,2009,96580,2626,93954,18694,68504,9382
Louisiana,22,2009,85359,3517,81842,21219,54779,9360
Maine,23,2009,16901,455,16446,2296,13214,1391
Maryland,24,2009,55709,5879,49830,9965,36026,9718
Massachusetts,25,2009,102741,20773,81968,14441,66090,22210
Michigan,26,2009,137786,6024,131762,26290,97281,14215
Minnesota,27,2009,44041,4253,39788,7532,28852,7657
Mississippi,28,2009,61259,2347,58912,14799,39565,6895
Missouri,29,2009,66635,2289,64346,13372,47518,5745
Montana,30,2009,8305,238,8068,1466,6139,700
Nebraska,31,2009,11984,563,11421,2299,8511,1174
Nevada,32,2009,20487,3688,16800,4474,12093,3920
New Hampshire,33,2009,8430,282,8149,1331,6501,599
New Jersey,34,2009,85836,14274,71562,15032,48609,22195
New Mexico,35,2009,29096,2438,26659,5505,18413,5178
New York,36,2009,378732,57927,320805,52373,218412,107947
North Carolina,37,2009,105884,5077,100806,24866,68512,12506
North Dakota,38,2009,3718,218,3501,620,2635,463
Ohio,39,2009,152529,5018,147510,30359,108608,13562
Oklahoma,40,2009,46509,1734,44774,10498,31797,4213
Oregon,41,2009,37763,2985,34778,5730,26740,5294
Pennsylvania,42,2009,189242,9077,180165,41846,124269,23127
Rhode Island,44,2009,17015,1323,15692,2946,11345,2724
South Carolina,45,2009,55099,2365,52734,12130,36551,6418
South Dakota,46,2009,6391,393,5998,1392,4117,883
Tennessee,47,2009,87272,3309,83963,15233,62732,9307
Texas,48,2009,281277,32268,249009,72640,157031,51606
Utah,49,2009,13708,953,12755,2962,9071,1675
Vermont,50,2009,7416,253,7162,1166,5528,723
Virginia,51,2009,70983,6708,64275,14088,45041,11854
Washington,52,2009,74660,7040,67620,10220,51371,13070
West Virginia,54,2009,40915,730,40184,5688,31695,3532
Wisconsin,55,2009,54106,2227,51879,12197,36705,5204
Wyoming,56,2009,2958,74,2884,539,2212,207
Outlying area,,,,,,,,
Northern Mariana Islands,57,2009,514,49,464,192,256,66
Unknown,58,2009,130,18,112,36,66,26
Alabama,01,2010,88549,2748,85801,18915,61457,8176
Alaska,02,2010,6116,614,5502,703,4358,1056
Arizona,04,2010,57690,5181,52509,12720,35325,9644
Arkansas,05,2010,54153,1370,52783,17004,33277,3871
California,06,2010,770339,180796,589544,76578,412349,281412
Colorado,08,2010,33965,3386,30580,5344,23053,5568
Connecticut,09,2010,30613,2551,28063,4900,20479,5234
Delaware,10,2010,8156,416,7740,2177,5121,859
District of Columbia,11,2010,14370,675,13695,2799,9904,1668
Florida,12,2010,249281,42705,206576,57900,129472,61909
Georgia,13,2010,117919,6878,111041,25644,77288,14987
Hawaii,15,2010,13834,2563,11272,1008,9019,3806
Idaho,16,2010,13817,511,13306,3112,9608,1097
Illinois,17,2010,146813,12126,134687,28169,94394,24250
Indiana,18,2010,63536,1617,61919,15917,43642,3977
Iowa,19,2010,23591,872,22719,4672,16887,2032
Kansas,20,2010,23820,976,22844,5350,16313,2157
Kentucky,21,2010,98285,2561,95724,18791,70058,9437
Louisiana,22,2010,88340,3404,84935,22173,56833,9333
Maine,23,2010,17375,452,16924,2334,13617,1424
Maryland,24,2010,59432,5878,53554,10554,39118,9760
Massachusetts,25,2010,107522,21190,86332,15465,69370,22687
Michigan,26,2010,142576,6117,136459,26734,101312,14530
Minnesota,27,2010,45703,4293,41411,7919,29876,7908
Mississippi,28,2010,62393,2231,60163,14897,40775,6721
Missouri,29,2010,69732,2271,67461,14112,49822,5799
Montana,30,2010,8737,341,8396,1617,6310,810
Nebraska,31,2010,12719,582,12137,2382,9138,1199
Nevada,32,2010,22006,3832,18174,4744,13178,4084
New Hampshire,33,2010,9564,315,9249,1461,7451,652
New Jersey,34,2010,90354,14280,76074,15531,52445,22378
New Mexico,35,2010,29853,2428,27425,5623,18993,5237
New York,36,2010,389727,57332,332395,54741,226356,108629
North Carolina,37,2010,110185,4968,105217,25274,72460,12452
North Dakota,38,2010,3793,213,3580,624,2704,465
Ohio,39,2010,158693,5008,153684,31278,113632,13782
Oklahoma,40,2010,48292,1706,46586,11001,33102,4189
Oregon,41,2010,39817,3028,36789,6084,28327,5406
Pennsylvania,42,2010,196712,8956,187756,43563,129669,23480
Rhode Island,44,2010,18106,1295,16811,3140,12203,2764
South Carolina,45,2010,56283,2272,54012,12426,37501,6357
South Dakota,46,2010,6671,389,6281,1454,4334,883
Tennessee,47,2010,91219,3246,87973,15562,66289,9368
Texas,48,2010,298269,32326,265942,79279,166719,52271
Utah,49,2010,14569,978,13591,3051,9790,1729
Vermont,50,2010,7717,274,7442,1231,5748,737
Virginia,51,2010,74051,6616,67435,14578,47672,11802
Washington,52,2010,77915,7166,70749,10540,53993,13382
West Virginia,54,2010,41495,696,40799,5565,32393,3538
Wisconsin,55,2010,55361,2179,53182,12703,37352,5305
Wyoming,56,2010,3111,74,3037,560,2349,202
Outlying area,,,,,,,,
Northern Mariana Islands,57,2010,539,51,488,205,266,68
Alabama,01,2011,89218,2597,86621,18852,62335,8031
Alaska,02,2011,6309,589,5720,702,4563,1045
Arizona,04,2011,60104,5300,54804,13140,37116,9848
Arkansas,05,2011,55905,1307,54597,18137,33975,3792
California,06,2011,771692,176781,594911,79744,414104,277844
Colorado,08,2011,35982,3416,32566,5656,24663,5664
Connecticut,09,2011,32033,2502,29531,5265,21458,5310
Delaware,10,2011,8334,402,7932,2216,5265,853
District of Columbia,11,2011,14960,658,14302,2908,10448,1605
Florida,12,2011,260540,44408,216132,60974,135425,64140
Georgia,13,2011,125876,6944,118933,27565,83263,15048
Hawaii,15,2011,14024,2531,11493,1038,9187,3799
Idaho,16,2011,14355,520,13835,3233,9970,1152
Illinois,17,2011,148256,12084,136172,28338,95389,24528
Indiana,18,2011,66433,1613,64821,16374,45989,4071
Iowa,19,2011,24738,871,23867,4942,17758,2037
Kansas,20,2011,24346,967,23379,5620,16531,2195
Kentucky,21,2011,98431,2502,95929,18629,70305,9498
Louisiana,22,2011,91359,3286,88073,23056,59005,9298
Maine,23,2011,18409,454,17955,2467,14484,1458
Maryland,24,2011,62296,5872,56425,11122,41343,9831
Massachusetts,25,2011,111245,21876,89369,16158,71803,23284
Michigan,26,2011,149108,6204,142904,27885,106352,14870
Minnesota,27,2011,47835,4285,43551,8202,31570,8064
Mississippi,28,2011,63052,2130,60922,15130,41341,6580
Missouri,29,2011,71173,2216,68957,14675,50645,5853
Montana,30,2011,9272,332,8941,1643,6806,824
Nebraska,31,2011,13288,600,12688,2525,9520,1244
Nevada,32,2011,23878,4008,19869,5305,14294,4278
New Hampshire,33,2011,10030,315,9715,1471,7880,678
New Jersey,34,2011,91627,13881,77746,16123,53603,21901
New Mexico,35,2011,30857,2465,28392,5782,19764,5311
New York,36,2011,391847,56619,335228,56208,226403,109236
North Carolina,37,2011,113640,4874,108767,26425,74770,12445
North Dakota,38,2011,3874,210,3664,614,2787,473
Ohio,39,2011,164603,5006,159597,32213,118164,14226
Oklahoma,40,2011,49310,1675,47635,11281,33821,4208
Oregon,41,2011,41433,3111,38322,6313,29484,5635
Pennsylvania,42,2011,203114,8845,194269,45790,133489,23835
Rhode Island,44,2011,17090,1143,15948,2995,11615,2480
South Carolina,45,2011,59260,2206,57054,12835,40140,6285
South Dakota,46,2011,6897,413,6485,1488,4498,911
Tennessee,47,2011,95434,3195,92239,16074,70026,9334
Texas,48,2011,313528,32504,281024,85055,175400,53073
Utah,49,2011,15565,997,14568,3241,10537,1787
Vermont,50,2011,8033,283,7750,1251,6029,752
Virginia,51,2011,76648,6606,70042,14789,49957,11902
Washington,52,2011,80897,7272,73625,11088,56098,13710
West Virginia,54,2011,42367,680,41687,5700,33087,3581
Wisconsin,55,2011,57533,2169,55364,13250,38894,5389
Wyoming,56,2011,3224,71,3153,575,2446,203
Outlying areas,,,,,,,,
Northern Mariana Islands,57,2011,606,54,552,231,299,76
Alabama,01,2012,94353,2547,91806,19341,66647,8366
Alaska,02,2012,6550,615,5935,782,4652,1116
Arizona,04,2012,63770,5580,58190,13800,39505,10465
Arkansas,05,2012,58935,1315,57619,19438,35557,3940
California,06,2012,799179,181106,618073,84007,426822,288350
Colorado,08,2012,38296,3521,34774,6108,26235,5952
Connecticut,09,2012,33702,2615,31087,5796,22221,5684
Delaware,10,2012,9068,432,8636,2305,5836,927
District of Columbia,11,2012,16153,695,15459,3028,11413,1713
Florida,12,2012,281437,48155,233282,66423,145536,69478
Georgia,13,2012,135864,7243,128622,29601,90293,15970
Hawaii,15,2012,14354,2547,11808,1065,9385,3904
Idaho,16,2012,15702,527,15175,3488,10992,1223
Illinois,17,2012,154433,12426,142007,28793,99870,25769
Indiana,18,2012,70056,1687,68369,16857,48808,4391
Iowa,19,2012,25862,905,24957,5175,18515,2173
Kansas,20,2012,26439,982,25457,6171,17976,2292
Kentucky,21,2012,101846,2526,99319,19391,72528,9926
Louisiana,22,2012,95105,3309,91796,24118,61268,9719
Maine,23,2012,19531,470,19061,2666,15278,1586
Maryland,24,2012,65755,6084,59670,11900,43486,10369
Massachusetts,25,2012,102240,8957,93283,15611,67421,19208
Michigan,26,2012,155980,6697,149284,28672,111179,16129
Minnesota,27,2012,50603,4496,46106,8693,33186,8724
Mississippi,28,2012,65298,2112,63186,15575,42967,6755
Missouri,29,2012,75343,2263,73080,15295,53880,6167
Montana,30,2012,9692,344,9348,1672,7138,881
Nebraska,31,2012,14117,642,13475,2648,10126,1342
Nevada,32,2012,25580,4349,21231,5751,15185,4645
New Hampshire,33,2012,10273,326,9947,1604,7954,715
New Jersey,34,2012,96545,14431,82114,17170,56423,22952
New Mexico,35,2012,32931,2533,30398,6110,21270,5552
New York,36,2012,405864,58042,347822,60292,231504,114069
North Carolina,37,2012,120721,4989,115732,27935,79764,13021
North Dakota,38,2012,4177,233,3944,665,2996,516
Ohio,39,2012,173688,5268,168420,33984,124389,15315
Oklahoma,40,2012,52250,1724,50527,11940,35897,4413
Oregon,41,2012,44798,3293,41505,6856,31859,6084
Pennsylvania,42,2012,213929,9156,204772,49197,139402,25330
Rhode Island,44,2012,17983,1164,16820,3125,12267,2591
South Carolina,45,2012,62121,2230,59891,13227,42292,6602
South Dakota,46,2012,7417,449,6967,1604,4828,985
Tennessee,47,2012,99866,3245,96620,16689,73373,9804
Texas,48,2012,332665,33488,299176,91307,185711,55647
Utah,49,2012,16806,1069,15737,3484,11400,1922
Vermont,50,2012,8503,306,8197,1271,6434,798
Virginia,51,2012,80633,6850,73783,15406,52735,12493
Washington,52,2012,84216,7662,76555,11671,57945,14600
West Virginia,54,2012,42936,692,42245,5581,33567,3788
Wisconsin,55,2012,61348,2228,59120,14062,41583,5703
Wyoming,56,2012,3402,75,3327,610,2566,225
Outlying area,,,,,,,,
Northern Mariana Islands,57,2012,630,62,568,224,317,88
Alabama,01,2013,93772,2439,91333,18893,66374,8505
Alaska,02,2013,6420,619,5801,750,4532,1138
Arizona,04,2013,65046,5783,59263,13894,40273,10880
Arkansas,05,2013,59780,1288,58492,19663,36084,4033
California,06,2013,811541,183068,628473,86140,431112,294289
Colorado,08,2013,39430,3591,35839,6474,26765,6191
Connecticut,09,2013,34584,2661,31923,5839,22824,5921
Delaware,10,2013,9218,434,8784,2363,5898,958
District of Columbia,11,2013,15893,718,15174,2761,11323,1809
Florida,12,2013,295441,51488,243953,69025,152150,74266
Georgia,13,2013,139465,7401,132064,30146,92681,16639
Hawaii,15,2013,14762,2545,12217,1053,9712,3997
Idaho,16,2013,16251,526,15725,3610,11355,1287
Illinois,17,2013,155368,12566,142802,28670,100206,26492
Indiana,18,2013,71113,1732,69381,16683,49850,4580
Iowa,19,2013,26541,924,25616,5243,19042,2255
Kansas,20,2013,26306,986,25321,6254,17702,2350
Kentucky,21,2013,101109,2520,98589,18847,72063,10199
Louisiana,22,2013,97166,3316,93850,24090,63062,10014
Maine,23,2013,19680,467,19213,2719,15355,1606
Maryland,24,2013,67526,6234,61291,12362,44487,10677
Massachusetts,25,2013,101211,9167,92044,15221,66016,19975
Michigan,26,2013,159143,7202,151941,28707,113249,17186
Minnesota,27,2013,52385,4669,47715,9018,34148,9218
Mississippi,28,2013,65466,2029,63437,15624,43070,6772
Missouri,29,2013,76994,2305,74688,15508,55104,6381
Montana,30,2013,9735,359,9375,1676,7111,948
