Year,Average Annual Unemployment Rate,Labor Force Percentage Change,Total Employment Percentage Change,GDP Percentage Change,Average Annual Nominal Interest Rate,Average Annual Real Interest Rate,Covered workers,OASI Beneficiaries,OASDI Beneficiaries,Covered workers per OASDI beneficiary,OASDI beneficiaries per 100 covered workers,Total Fertility Rate,"Age-sex-adjusted death rate per 100,000","Age-sex-adjusted death rate per 100,000 (Under 65)","Age-sex-adjusted death rate per 100,000 (65 and over)",LPR Immigration,LPR Emigration,Net LPR Change,Net Temporary or Unlawful Immigration Change,Income rate (OASDI),Cost rate (OASDI),Balance (OASDI),Income rate (HI),Cost rate (HI),Balance (HI),Worker (Retired workers & auxiliaries),Spouse (Retired workers & auxiliaries),Child (Retired workers & auxiliaries),Widow-widower (Survivors),Mother-father (Survivors),Child (Survivors),Parent (Survivors),Total,Non-interest income (K),Interest income (K),Total income (K),Cost (K),Reserves at end of year (K),Life Expectancy at Birth,Life Expectancy at Age 65,Ratio of OASDI Taxable Payroll to GDP,OASI Fund Ratio,DI Fund Ratio,OASDI Fund Ratio,Covid_dummy,LE65_x_Covid
1995.0,5.6,1.0,1.4,2.7,6.9,4.2,140800.0,37364.0,43096.0,3.3,31.0,1.98,1005.0,318.3,5582.9,769.0,192.0,577.0,557.0,12.52,11.67,0.85,3.05,3.36,-0.3,26679.0,3027.0,441.0,5213.0,275.0,1884.0,4.0,37522.0,766600000.0,73600000.0,840200000.0,714700000.0,1043300000.0,75.8,17.2,0.381,1.39,0.55,1.28,0,0.0
1996.0,5.4,1.2,1.4,3.8,6.6,4.0,143251.0,37509.0,43486.0,3.3,30.0,1.98,990.3,306.5,5549.5,887.0,221.0,666.0,479.0,12.59,11.54,1.05,3.06,3.46,-0.4,26905.0,2971.0,442.0,5199.0,242.0,1898.0,4.0,37661.0,788600000.0,79200000.0,867800000.0,722900000.0,1159100000.0,76.1,17.25,0.38,1.49,0.83,1.4,0,0.0
1997.0,4.9,1.8,2.2,4.4,6.6,4.3,146101.0,37696.0,43783.0,3.3,30.0,1.97,975.5,293.8,5520.5,762.0,190.0,572.0,550.0,12.64,11.27,1.37,3.06,3.41,-0.35,27282.0,2926.0,441.0,5043.0,230.0,1893.0,3.0,37817.0,827400000.0,87500000.0,914900000.0,737900000.0,1310400000.0,76.35,17.35,0.382,1.6,1.13,1.54,0,0.0
1998.0,4.5,1.0,1.4,4.5,5.6,5.3,149077.0,37818.0,44068.0,3.4,30.0,2.0,967.9,286.6,5510.3,651.0,163.0,489.0,614.0,12.51,10.87,1.64,3.07,3.04,0.04,27518.0,2866.0,439.0,4981.0,221.0,1884.0,3.0,37911.0,867800000.0,97300000.0,965100000.0,754100000.0,1504200000.0,76.55000000000001,17.35,0.388,1.77,1.33,1.71,0,0.0
1999.0,4.2,1.2,1.5,4.8,5.9,3.4,151805.0,37926.0,44359.0,3.4,29.0,2.01,974.3,284.2,5575.3,694.0,173.0,520.0,612.0,12.61,10.52,2.09,3.1,2.81,0.3,27784.0,2811.0,442.0,4936.0,212.0,1885.0,3.0,38073.0,909500000.0,107100000.0,1016500000.0,758500000.0,1729900000.0,76.55,17.299999999999997,0.388,2.01,1.52,1.94,0,0.0
2000.0,4.0,2.3,2.5,4.1,6.2,2.4,154707.0,38556.0,45162.0,3.4,29.0,2.05,964.1,281.4,5515.8,895.0,224.0,672.0,577.0,12.62,10.4,2.23,3.11,2.63,0.49,28505.0,2798.0,459.0,4901.0,203.0,1878.0,3.0,38747.0,940000000.0,120300000.0,1060300000.0,774300000.0,1957500000.0,76.7,17.45,0.389,2.23,1.71,2.16,0,0.0
2001.0,4.7,0.8,0.0,1.0,5.2,3.5,155129.0,38888.0,45668.0,3.4,29.0,2.03,954.0,280.2,5445.9,1059.0,265.0,794.0,577.0,12.73,10.56,2.17,3.1,2.8,0.31,28843.0,2742.0,467.0,4828.0,197.0,1890.0,3.0,38969.0,960800000.0,132400000.0,1093100000.0,797000000.0,2201800000.0,76.75,17.5,0.393,2.47,1.93,2.39,0,0.0
2002.0,5.8,0.8,-0.3,1.7,4.9,3.9,154563.0,39117.0,46176.0,3.3,30.0,2.03,950.0,279.3,5421.9,970.0,243.0,728.0,578.0,12.9,10.89,2.01,3.1,2.97,0.13,29195.0,2681.0,477.0,4771.0,194.0,1908.0,2.0,39227.0,979200000.0,143900000.0,1123200000.0,826900000.0,2468000000.0,76.85,17.6,0.388,2.72,2.08,2.63,0,0.0
2003.0,6.0,1.1,1.0,2.8,4.1,2.6,154789.0,39315.0,46753.0,3.3,30.0,2.05,936.0,278.0,5323.1,767.0,192.0,575.0,578.0,12.59,11.03,1.56,3.11,3.03,0.09,29537.0,2622.0,480.0,4707.0,190.0,1910.0,2.0,39448.0,958400000.0,148800000.0,1107200000.0,839500000.0,2682200000.0,77.0,17.75,0.379,3.0,2.19,2.88,0,0.0
2004.0,5.5,0.6,1.1,3.8,4.3,1.5,156582.0,39558.0,47368.0,3.3,30.0,2.06,901.4,270.2,5109.7,999.0,250.0,749.0,578.0,12.53,11.05,1.48,3.12,3.08,0.04,29952.0,2569.0,482.0,4643.0,184.0,1901.0,2.0,39733.0,971200000.0,151900000.0,1123100000.0,856600000.0,2880400000.0,77.4,18.1,0.372,3.22,2.18,3.05,0,0.0
2005.0,5.1,1.3,1.7,3.5,4.3,0.8,159035.0,39961.0,48133.0,3.3,30.0,2.06,903.7,271.1,5121.7,1158.0,290.0,869.0,1015.0,12.8,11.16,1.63,3.12,3.17,-0.05,30461.0,2524.0,488.0,4569.0,178.0,1903.0,2.0,40126.0,1002100000.0,155500000.0,1157500000.0,874100000.0,3065800000.0,77.4,18.1,0.364,3.4,2.12,3.18,0,0.0
