"Table 2.
Number of beneficiaries in current-payment status, by state or other area, type of benefit, and sex of beneficiaries aged 65 or older, December 2023",,,,,,,,,,,,,
State or area,,,Total,Retirement,,,Survivors,,Disability,,,Aged 65 or older,
,,,,Retired workers,Spouses,Children,Widow(er)s and parents,Children,Disabled workers,Spouses,Children,Men,Women
,,All areas,"67,076,966","50,147,679","1,896,329","685,811","3,796,684","2,036,739","7,365,987","87,898","1,059,839","23,979,015","29,528,997"
Alabama,,,"1,179,481","800,556","24,800","12,416","73,273","46,072","190,348","2,183","29,833","372,423","483,629"
Alaska,,,"115,096","88,118","2,485","2,038","5,486","4,929","10,271",123,"1,646","45,646","45,605"
Arizona,,,"1,498,752","1,173,710","38,797","15,497","77,612","41,985","131,180","1,533","18,438","558,163","671,512"
Arkansas,,,"718,363","489,372","12,560","7,530","42,482","26,727","119,196","1,317","19,179","229,907","289,030"
California,,,"6,376,029","4,935,826","257,935","79,070","352,983","162,223","514,660","7,674","65,658","2,423,854","2,894,483"
Colorado,,,"959,232","760,497","26,511","7,753","48,190","25,535","79,912",678,"10,156","371,553","433,515"
Connecticut,,,"721,702","564,284","15,584","7,476","34,018","18,666","71,433",601,"9,640","264,694","332,260"
Delaware,,,"241,454","190,772","4,061","1,695","11,317","6,629","23,852",157,"2,971","87,050","110,509"
District of Columbia,,,"84,150","62,951","1,401",795,"3,426","3,331","11,095",26,"1,125","28,629","37,591"
Florida,,,"5,069,686","3,950,727","131,852","48,971","263,603","123,780","478,403","5,731","66,619","1,870,653","2,279,265"
Georgia,,,"1,982,042","1,451,725","40,235","20,812","109,731","74,099","243,954","2,639","38,847","659,413","856,826"
Hawaii,,,"296,605","244,108","6,954","3,747","13,856","6,418","18,309",288,"2,925","115,855","137,853"
Idaho,,,"395,451","304,542","10,054","4,080","19,648","11,004","39,255",512,"6,356","148,255","170,671"
Illinois,,,"2,314,781","1,762,528","61,119","23,011","131,717","71,528","231,279","2,321","31,278","837,710","1,039,551"
Indiana,,,"1,421,661","1,040,309","28,667","12,937","81,330","50,839","179,875","1,924","25,780","485,497","615,422"
Iowa,,,"687,630","531,390","12,002","6,539","36,052","19,697","71,839",537,"9,574","250,219","306,846"
Kansas,,,"588,538","447,780","11,547","6,154","31,216","19,211","62,691",547,"9,392","211,218","260,653"
Kentucky,,,"1,023,276","679,811","25,324","10,177","69,586","41,005","169,747","2,925","24,701","331,921","406,205"
Louisiana,,,"941,432","617,733","34,311","10,114","77,541","43,698","134,154","2,268","21,613","315,217","380,936"
Maine,,,"369,221","274,680","7,401","3,485","17,853","9,763","48,170",443,"7,426","133,914","156,300"
Maryland,,,"1,068,002","826,795","22,948","10,040","52,195","34,065","106,981",634,"14,344","378,815","492,472"
Massachusetts,,,"1,324,309","998,126","31,090","14,054","60,548","35,513","159,741","1,044","24,193","479,614","591,885"
Michigan,,,"2,300,101","1,686,642","53,995","22,823","127,701","71,700","290,191","3,773","43,276","797,613","987,377"
Minnesota,,,"1,123,666","887,418","19,970","10,849","49,604","28,564","110,186",702,"16,373","419,681","502,931"
Mississippi,,,"691,612","469,560","12,539","8,590","43,014","32,538","106,401","1,466","17,504","216,616","277,601"
Missouri,,,"1,358,163","985,925","24,767","12,306","75,050","48,568","184,298","1,877","25,372","463,104","575,515"
Montana,,,"258,613","203,563","5,477","2,529","13,312","7,290","23,073",288,"3,081","100,099","111,953"
Nebraska,,,"370,770","286,550","6,653","3,659","18,982","11,247","37,494",251,"5,934","134,439","168,602"
Nevada,,,"592,928","464,820","13,635","5,700","29,260","15,879","55,891",563,"7,180","227,024","254,880"
New Hampshire,,,"334,168","255,349","5,450","2,663","14,005","8,003","40,808",248,"7,642","122,570","144,364"
New Jersey,,,"1,698,504","1,316,238","44,413","18,545","86,530","44,963","162,912","1,676","23,227","608,592","793,183"
New Mexico,,,"468,030","345,706","12,735","4,159","25,685","17,305","54,280",630,"7,530","166,569","199,332"
New York,,,"3,764,852","2,825,851","115,907","44,940","192,769","97,216","421,997","5,035","61,137","1,325,712","1,695,460"
North Carolina,,,"2,276,121","1,712,389","37,719","19,929","112,838","72,245","279,258","2,731","39,012","771,435","1,002,570"
North Dakota,,,"146,521","113,352","3,038","1,273","8,536","4,916","13,383",79,"1,944","55,383","64,744"
Ohio,,,"2,462,954","1,779,927","66,732","20,412","159,964","86,700","305,732","3,476","40,011","868,380","1,064,484"
Oklahoma,,,"838,254","593,586","18,345","8,375","52,955","32,062","114,577","1,381","16,973","281,270","351,627"
Oregon,,,"927,847","729,072","21,453","8,811","45,875","20,801","89,855",939,"11,041","348,833","419,549"
Pennsylvania,,,"2,932,281","2,193,704","66,769","25,613","163,413","84,444","347,464","3,607","47,267","1,034,558","1,307,601"
Rhode Island,,,"236,877","177,649","3,693","2,661","10,239","5,908","31,646",202,"4,879","82,666","104,399"
South Carolina,,,"1,266,721","950,631","22,075","11,147","66,779","41,410","151,280","1,561","21,838","433,149","551,734"
South Dakota,,,"196,735","156,249","3,370","1,642","9,744","6,055","17,108",130,"2,437","76,125","86,425"
Tennessee,,,"1,538,339","1,102,927","31,706","14,368","90,254","57,768","208,918","2,354","30,044","512,319","651,693"
Texas,,,"4,676,594","3,404,297","179,026","49,701","315,101","165,193","477,204","6,926","79,146","1,676,901","2,026,381"
Utah,,,"458,004","343,806","17,468","5,591","23,982","17,623","41,709",522,"7,303","169,254","200,448"
Vermont,,,"161,841","123,996","2,830","1,670","7,125","3,942","19,165",112,"3,001","60,133","69,996"
Virginia,,,"1,647,184","1,247,886","38,605","15,395","87,985","47,872","181,500","1,987","25,954","579,690","739,594"
Washington,,,"1,452,551","1,135,608","39,306","14,508","70,765","34,400","138,248","1,423","18,293","547,105","656,414"
West Virginia,,,"476,583","313,027","17,686","5,447","37,657","18,203","72,580","1,686","10,297","159,868","192,889"
Wisconsin,,,"1,332,623","1,041,496","21,611","11,849","61,776","35,891","138,863","1,056","20,081","488,241","581,935"
Wyoming,,,"126,109","98,346","2,743","1,037","6,497","3,704","12,076",131,"1,575","48,955","53,297"
Outlying areas,,,,,,,,,,,,,
