"Table 3.
Amount of benefits in current-payment status, by state or other area, type of benefit, and sex of beneficiaries aged 65 or older, December 2023 (in thousands of dollars)",,,,,,,,,,,,,
State or area,,,Total,Retirement,,,Survivors,,Disability,,,Aged 65 or older,
,,,,Retired workers,Spouses,Children,Widow(er)s and parents,Children,Disabled workers,Spouses,Children,Men,Women
,,All areas,"118,527,109","95,546,840","1,729,507","610,445","6,512,823","2,246,640","11,322,496","36,923","521,435","50,855,917","50,006,921"
Alabama,,,"1,992,371","1,485,643","24,602","11,337","120,483","48,039","286,948",900,"14,421","781,097","799,886"
Alaska,,,"197,375","161,916","2,440","1,672","9,428","5,437","15,645",57,780,"94,137","73,200"
Arizona,,,"2,743,406","2,287,800","37,489","13,558","138,341","46,755","209,504",647,"9,311","1,210,172","1,174,096"
Arkansas,,,"1,172,979","875,849","11,555","6,521","67,254","27,415","175,191",496,"8,697","458,426","467,701"
California,,,"11,133,813","9,209,503","218,598","68,790","596,053","188,767","812,863","3,596","35,644","4,964,828","4,792,588"
Colorado,,,"1,771,052","1,488,935","28,092","7,207","87,285","30,105","123,862",310,"5,256","823,415","741,534"
Connecticut,,,"1,426,200","1,192,640","16,849","7,204","66,307","22,869","114,894",244,"5,194","626,314","627,038"
Delaware,,,"474,756","398,637","4,426","1,627","21,569","7,212","39,663",70,"1,552","202,171","209,772"
District of Columbia,,,"147,512","120,666","1,513",695,"5,505","3,306","15,292",11,524,"57,421","68,851"
Florida,,,"9,030,689","7,481,484","121,739","42,660","459,417","134,546","755,328","2,424","33,092","3,931,592","3,879,138"
Georgia,,,"3,413,681","2,698,643","39,490","18,234","184,371","77,872","375,359","1,021","18,691","1,382,759","1,435,646"
Hawaii,,,"537,247","465,856","6,207","3,388","23,768","7,399","29,035",120,"1,474","238,048","242,787"
Idaho,,,"696,690","572,622","10,288","3,669","35,153","12,475","59,357",195,"2,931","316,995","280,144"
Illinois,,,"4,184,793","3,408,817","59,536","21,319","239,627","81,285","357,593",963,"15,654","1,824,120","1,782,568"
Indiana,,,"2,580,093","2,044,902","29,997","12,031","149,432","55,420","275,254",798,"12,260","1,082,012","1,078,090"
Iowa,,,"1,235,464","1,020,986","12,342","5,663","64,746","22,077","105,152",189,"4,309","543,287","524,102"
Kansas,,,"1,081,577","887,503","12,410","5,692","56,901","21,207","93,353",208,"4,303","472,224","459,792"
Kentucky,,,"1,678,813","1,225,617","23,126","8,894","111,518","41,574","254,686","1,277","12,121","674,066","645,041"
Louisiana,,,"1,506,128","1,086,721","32,759","8,547","125,339","44,530","197,434","1,063","9,735","639,085","569,268"
Maine,,,"622,946","498,734","7,301","2,993","29,837","10,540","69,882",166,"3,493","271,800","252,273"
Maryland,,,"2,047,983","1,698,605","24,543","9,788","96,469","39,530","171,111",296,"7,641","854,766","922,002"
Massachusetts,,,"2,455,783","1,998,846","31,584","12,622","110,122","42,077","247,416",441,"12,678","1,069,689","1,051,703"
Michigan,,,"4,241,505","3,368,619","55,664","21,948","238,278","81,201","453,771","1,502","20,522","1,793,580","1,755,399"
Minnesota,,,"2,121,661","1,788,659","21,415","9,497","92,368","33,266","168,556",249,"7,651","944,113","907,673"
Mississippi,,,"1,107,012","824,458","11,613","7,212","67,307","31,908","155,926",565,"8,023","426,955","441,489"
Missouri,,,"2,345,947","1,843,010","25,141","10,787","129,135","50,344","275,240",716,"11,575","979,115","960,199"
Montana,,,"443,796","369,938","5,361","2,150","23,221","7,815","33,765",110,"1,435","203,884","180,891"
Nebraska,,,"668,627","555,113","6,845","3,221","34,086","12,660","54,080",91,"2,530","293,219","291,173"
Nevada,,,"1,037,919","856,441","12,594","4,905","51,172","18,174","90,730",257,"3,646","464,599","423,756"
New Hampshire,,,"648,752","534,810","6,275","2,575","26,852","9,582","64,738",95,"3,825","288,563","268,673"
New Jersey,,,"3,355,078","2,777,800","43,883","18,052","165,830","55,962","278,792",800,"13,959","1,417,699","1,509,132"
New Mexico,,,"778,222","622,003","11,536","3,509","41,387","17,388","78,700",276,"3,421","331,207","321,562"
New York,,,"6,821,859","5,514,148","100,540","40,835","341,543","114,579","675,074","2,218","32,923","2,804,411","3,003,476"
North Carolina,,,"4,044,331","3,269,519","39,009","17,943","191,702","75,938","430,019","1,036","19,165","1,652,850","1,735,086"
North Dakota,,,"254,845","210,378","2,983","1,094","14,792","5,390","19,277",28,903,"116,858","104,533"
Ohio,,,"4,230,981","3,306,598","65,991","17,866","279,989","90,102","450,884","1,476","18,075","1,836,378","1,727,181"
Oklahoma,,,"1,428,166","1,101,870","18,038","7,243","89,689","34,010","168,980",544,"7,792","585,538","585,774"
Oregon,,,"1,676,734","1,398,103","22,101","8,106","82,633","24,214","135,699",373,"5,506","745,331","722,167"
Pennsylvania,,,"5,388,167","4,340,439","68,695","23,529","297,621","94,721","538,145","1,485","23,532","2,290,739","2,308,544"
Rhode Island,,,"432,096","350,250","3,638","2,335","18,540","6,753","48,109",73,"2,398","181,672","185,673"
South Carolina,,,"2,270,007","1,831,042","23,237","10,273","113,127","43,640","237,164",602,"10,921","944,833","951,852"
South Dakota,,,"342,079","288,794","3,368","1,385","16,542","6,143","24,708",46,"1,093","158,756","140,489"
Tennessee,,,"2,668,921","2,084,103","32,362","13,202","151,466","59,086","313,738",891,"14,073","1,088,869","1,104,135"
Texas,,,"8,032,384","6,350,471","164,148","42,628","526,618","184,871","723,217","2,996","37,434","3,538,244","3,266,694"
Utah,,,"842,194","683,566","19,880","5,168","45,556","20,710","63,638",229,"3,447","390,535","337,632"
Vermont,,,"293,760","243,145","2,897","1,515","12,644","4,356","27,779",44,"1,381","129,327","124,304"
Virginia,,,"3,036,960","2,476,795","40,389","14,494","155,521","54,243","281,485",865,"13,167","1,287,350","1,312,417"
Washington,,,"2,749,221","2,295,964","41,551","13,772","132,554","41,379","214,153",629,"9,221","1,232,317","1,179,312"
West Virginia,,,"795,423","575,609","16,270","4,796","63,327","19,314","109,999",807,"5,301","328,946","308,411"
Wisconsin,,,"2,445,435","2,038,255","22,479","10,735","114,016","40,200","210,111",397,"9,242","1,076,633","1,017,248"
