"Table 3.
Amount of benefits in current-payment status, by state or other area, type of benefit, and sex of beneficiaries aged 65 or older, December 2013 (in thousands of dollars)",,,,,,,,,,,,,
State or area,,,Total,Retirement,,,Survivors,,Disability,,,Aged 65 or older,
,,,,Retired workers,Spouses,Children,Widow(er)s and parents,Children,Disabled workers,Spouses,Children,Men,Women
,,All areas,"68,544,382","49,026,786","1,481,837","395,300","5,152,133","1,545,335","10,250,098","48,239","644,653","26,364,320","25,647,798"
Alabama,,,"1,222,936","776,135","23,021","7,381","96,594","33,185","267,542","1,283","17,795","417,181","415,034"
Alaska,,,"97,786","69,937","1,691",984,"6,037","3,668","14,507",54,907,"40,929","30,544"
Arizona,,,"1,436,771","1,078,263","29,511","7,552","95,504","28,217","185,905",809,"11,010","584,930","533,978"
Arkansas,,,"731,882","478,033","12,003","4,080","54,011","18,797","153,875",652,"10,431","257,511","252,105"
California,,,"6,385,417","4,689,785","164,070","44,523","459,316","137,027","836,941","4,212","49,544","2,553,249","2,439,964"
Colorado,,,"925,092","683,656","21,731","4,781","64,865","19,850","122,716",437,"7,055","380,297","337,638"
Connecticut,,,"854,037","656,765","15,734","4,807","55,388","17,355","97,222",276,"6,489","345,972","350,448"
Delaware,,,"240,777","179,787","4,050","1,046","15,558","4,850","33,484",93,"1,910","93,987","91,919"
District of Columbia,,,"85,513","60,851","1,299",476,"5,017","2,417","14,834",12,607,"29,636","35,048"
Florida,,,"4,924,575","3,704,473","96,796","25,825","333,354","86,407","638,495","2,597","36,628","1,985,482","1,888,001"
Georgia,,,"1,901,327","1,323,859","32,253","11,438","134,601","51,506","325,685","1,255","20,729","684,732","682,793"
Hawaii,,,"296,423","236,336","5,050","2,398","18,061","5,380","27,406",140,"1,652","118,702","123,358"
Idaho,,,"346,011","252,644","7,784","1,997","24,565","7,295","48,473",234,"3,018","142,074","120,947"
Illinois,,,"2,610,862","1,902,721","56,071","15,538","210,460","62,118","341,316","1,529","21,109","1,017,948","1,015,343"
Indiana,,,"1,560,900","1,106,782","30,155","8,195","122,031","37,727","239,616","1,065","15,329","583,836","580,283"
Iowa,,,"728,571","545,656","14,964","3,637","59,461","15,183","84,571",269,"4,830","292,156","286,370"
Kansas,,,"627,902","459,882","12,247","3,268","48,102","14,271","84,564",287,"5,281","245,941","242,585"
Kentucky,,,"1,040,087","643,172","22,635","5,364","89,800","27,544","234,471","1,687","15,414","360,183","341,738"
Louisiana,,,"905,116","551,621","28,302","6,022","99,805","31,941","174,162","1,409","11,855","333,006","301,933"
Maine,,,"352,605","244,824","6,917","1,758","24,657","6,705","63,202",243,"4,298","135,453","125,152"
Maryland,,,"1,144,155","847,344","21,644","6,007","78,508","27,798","153,376",365,"9,115","435,684","457,239"
Massachusetts,,,"1,452,820","1,040,122","28,369","7,887","96,199","30,105","232,347",578,"17,214","559,128","563,271"
Michigan,,,"2,637,905","1,848,985","56,636","15,868","202,812","60,208","424,103","2,132","27,162","980,227","947,299"
Minnesota,,,"1,165,159","880,838","22,765","5,720","80,331","22,254","144,087",374,"8,790","470,123","446,099"
Mississippi,,,"684,993","438,362","10,967","4,839","52,613","22,276","145,127",704,"10,104","230,624","233,650"
Missouri,,,"1,432,365","993,808","26,211","7,291","107,422","33,996","247,600",918,"15,119","534,048","519,445"
Montana,,,"237,234","175,466","4,978","1,311","18,026","5,142","30,589",139,"1,584","98,770","84,506"
Nebraska,,,"381,367","284,753","7,871","1,845","30,222","8,021","45,803",132,"2,721","153,925","151,772"
Nevada,,,"554,818","416,391","9,364","2,932","34,319","11,168","76,206",266,"4,173","231,223","195,438"
New Hampshire,,,"346,045","251,389","5,787","1,579","20,143","6,155","56,342",136,"4,515","136,258","125,610"
New Jersey,,,"2,053,219","1,550,076","37,929","11,966","138,305","42,270","253,592",990,"18,091","792,623","843,729"
New Mexico,,,"432,570","302,881","10,264","2,475","31,447","10,591","70,536",386,"3,991","166,592","152,888"
New York,,,"4,262,027","3,108,874","87,304","27,968","291,140","87,080","614,426","2,843","42,393","1,584,677","1,702,730"
North Carolina,,,"2,260,248","1,620,700","32,479","11,359","140,981","49,479","381,010","1,333","22,908","821,462","839,078"
North Dakota,,,"139,058","101,606","3,653",639,"13,928","3,310","15,064",51,808,"57,839","54,170"
Ohio,,,"2,626,678","1,821,963","67,529","13,036","245,980","62,419","391,634","1,905","22,211","1,020,841","970,973"
Oklahoma,,,"844,203","580,346","16,773","4,686","69,379","22,466","141,467",713,"8,374","314,551","309,927"
Oregon,,,"940,453","702,891","19,626","5,382","66,063","16,271","123,390",570,"6,261","377,696","351,583"
Pennsylvania,,,"3,306,501","2,380,888","70,235","15,940","269,443","67,516","470,805","2,112","29,563","1,260,764","1,288,430"
Rhode Island,,,"256,785","187,018","3,483","1,403","15,637","4,832","41,559",89,"2,764","95,640","100,693"
South Carolina,,,"1,204,469","850,516","18,459","6,395","78,625","27,711","209,194",793,"12,777","443,933","429,649"
South Dakota,,,"183,482","138,667","3,837",801,"14,666","3,826","20,499",53,"1,132","77,557","69,486"
Tennessee,,,"1,559,929","1,068,151","29,133","8,528","115,715","37,824","282,153","1,296","17,128","567,232","557,212"
Texas,,,"4,279,628","2,951,570","120,926","25,565","372,766","115,517","646,637","3,949","42,698","1,682,852","1,536,001"
Utah,,,"426,372","310,152","12,536","2,865","29,408","12,935","54,358",262,"3,857","177,245","152,240"
Vermont,,,"163,301","119,416","3,182",904,"10,779","3,020","24,271",67,"1,662","64,506","60,703"
Virginia,,,"1,669,228","1,209,691","34,501","8,969","118,433","37,042","243,799","1,133","15,659","638,837","637,113"
Washington,,,"1,489,035","1,099,277","34,489","8,333","101,588","27,474","205,606",795,"11,473","599,949","554,826"
West Virginia,,,"524,739","321,298","15,329","2,874","53,216","13,343","110,792","1,369","6,518","188,183","174,435"
Wisconsin,,,"1,392,058","1,039,296","24,111","7,262","98,162","27,914","183,389",606,"11,317","547,199","522,922"
Wyoming,,,"119,807","89,440","2,418",589,"8,700","2,832","14,931",63,832,"50,785","42,310"
Outlying areas,,,,,,,,,,,,,
