"Table 2.
Number of beneficiaries in current-payment status, by state or other area, type of benefit, and sex of beneficiaries aged 65 or older, December 2022",,,,,,,,,,,,,
State or area,,,Total,Retirement,,,Survivors,,Disability,,,Aged 65 or older,
,,,,Retired workers,Spouses,Children,Widow(er)s and parents,Children,Disabled workers,Spouses,Children,Men,Women
,,All areas,"65,994,457","48,587,883","2,022,892","682,295","3,840,827","2,019,827","7,604,098","90,972","1,145,663","23,302,580","28,750,227"
Alabama,,,"1,168,912","778,722","26,153","12,426","74,058","45,430","197,520","2,275","32,328","362,830","471,366"
Alaska,,,"112,221","84,579","2,666","2,094","5,470","4,882","10,603",133,"1,794","44,079","43,685"
Arizona,,,"1,468,715","1,135,622","41,810","15,352","77,814","41,492","135,085","1,614","19,926","542,766","651,485"
Arkansas,,,"712,122","477,621","13,461","7,402","42,796","26,599","122,160","1,370","20,713","224,395","282,898"
California,,,"6,251,295","4,769,219","268,490","79,402","355,097","160,623","539,044","7,939","71,481","2,351,090","2,813,564"
Colorado,,,"939,291","732,528","29,529","7,820","48,865","25,314","83,080",765,"11,390","359,983","420,001"
Connecticut,,,"708,390","546,322","17,511","7,505","34,507","18,687","72,936",618,"10,304","256,818","323,646"
Delaware,,,"234,539","182,497","4,671","1,674","11,383","6,445","24,568",173,"3,128","83,718","106,180"
District of Columbia,,,"83,476","61,434","1,623",812,"3,537","3,304","11,547",21,"1,198","27,969","36,970"
Florida,,,"4,986,213","3,832,752","139,472","48,385","265,699","122,778","498,785","5,958","72,384","1,821,322","2,218,032"
Georgia,,,"1,945,822","1,400,931","42,482","20,638","110,163","73,130","253,596","2,767","42,115","637,441","829,235"
Hawaii,,,"291,053","236,828","7,692","3,749","14,091","6,330","18,954",309,"3,100","112,664","134,840"
Idaho,,,"385,393","292,182","10,673","4,054","19,776","10,852","40,481",531,"6,844","143,128","164,576"
Illinois,,,"2,285,265","1,713,244","66,311","23,057","134,035","71,205","240,755","2,544","34,114","816,471","1,016,460"
Indiana,,,"1,401,813","1,010,170","31,532","12,815","82,494","50,208","185,000","1,981","27,613","471,993","600,202"
Iowa,,,"677,020","516,300","14,216","6,488","36,905","19,349","73,109",552,"10,101","243,903","300,520"
Kansas,,,"580,532","434,744","13,504","6,062","31,992","18,946","64,502",567,"10,215","205,846","254,764"
Kentucky,,,"1,014,477","661,892","26,618","10,071","70,696","40,974","174,569","3,017","26,640","323,593","396,451"
Louisiana,,,"933,612","600,241","35,732","10,238","78,857","43,614","139,242","2,346","23,342","307,286","371,803"
Maine,,,"363,772","266,516","8,317","3,411","18,121","9,566","49,412",452,"7,977","130,335","152,145"
Maryland,,,"1,048,952","798,028","25,654","9,927","53,215","34,049","111,702",673,"15,704","367,076","478,484"
Massachusetts,,,"1,306,185","966,118","34,591","13,825","61,975","35,495","166,264","1,099","26,818","465,487","577,075"
Michigan,,,"2,269,413","1,638,924","58,839","22,859","129,976","71,430","297,020","3,825","46,540","775,286","962,324"
Minnesota,,,"1,100,951","856,950","24,564","10,737","50,889","28,308","111,495",731,"17,277","407,390","489,449"
Mississippi,,,"685,446","456,819","13,156","8,558","43,566","32,384","110,558","1,535","18,870","210,771","271,034"
Missouri,,,"1,341,389","959,137","27,406","12,252","76,106","48,115","189,232","1,872","27,269","451,198","561,981"
Montana,,,"253,030","196,144","6,049","2,512","13,495","7,211","23,922",293,"3,404","96,928","108,328"
Nebraska,,,"364,735","277,705","8,083","3,613","19,560","11,239","38,098",246,"6,191","130,997","164,845"
Nevada,,,"579,563","449,101","14,081","5,825","29,245","15,624","57,412",595,"7,680","220,045","246,500"
New Hampshire,,,"326,752","245,379","6,498","2,600","14,184","7,884","41,813",256,"8,138","118,017","139,740"
New Jersey,,,"1,669,244","1,274,772","48,721","18,326","87,604","44,893","167,868","1,714","25,346","590,470","773,615"
New Mexico,,,"461,134","335,665","13,643","4,206","26,005","16,933","55,907",672,"8,103","162,512","194,260"
New York,,,"3,710,827","2,745,712","122,422","44,582","195,704","97,156","433,997","5,064","66,190","1,288,419","1,656,679"
North Carolina,,,"2,234,888","1,658,163","41,284","19,704","113,752","70,759","286,368","2,811","42,047","748,736","973,566"
North Dakota,,,"143,329","109,380","3,510","1,233","8,808","4,807","13,517",82,"1,992","53,751","63,067"
Ohio,,,"2,427,966","1,727,949","71,481","20,228","162,931","86,001","313,017","3,573","42,786","845,160","1,038,199"
Oklahoma,,,"824,838","575,991","19,602","8,362","53,428","31,560","116,636","1,407","17,852","273,592","342,749"
Oregon,,,"917,497","710,755","24,187","8,885","46,975","20,462","93,286","1,009","11,938","342,079","410,559"
Pennsylvania,,,"2,898,240","2,135,246","74,020","25,206","167,698","84,559","356,858","3,732","50,921","1,007,587","1,280,826"
Rhode Island,,,"233,253","172,134","4,184","2,606","10,475","5,936","32,460",213,"5,245","80,312","101,507"
South Carolina,,,"1,238,565","915,425","23,771","11,027","66,838","40,652","155,753","1,555","23,544","418,667","533,023"
South Dakota,,,"193,088","151,144","3,929","1,638","10,106","5,910","17,547",136,"2,678","74,014","84,285"
Tennessee,,,"1,516,343","1,070,692","34,101","14,388","91,252","56,722","214,317","2,434","32,437","498,220","635,170"
Texas,,,"4,568,465","3,268,859","183,344","49,276","314,843","163,638","495,459","7,191","85,855","1,617,434","1,956,341"
Utah,,,"447,459","330,823","18,644","5,472","23,870","17,489","42,865",532,"7,764","163,802","193,752"
Vermont,,,"159,575","120,203","3,424","1,666","7,356","3,919","19,667",113,"3,227","58,563","68,343"
Virginia,,,"1,618,643","1,207,649","41,998","15,202","89,194","47,256","187,134","2,097","28,113","562,855","718,944"
Washington,,,"1,428,764","1,098,757","43,820","14,441","72,027","33,854","144,360","1,492","20,013","532,230","638,798"
West Virginia,,,"474,159","306,268","18,512","5,399","38,144","18,267","74,772","1,774","11,023","156,782","189,287"
Wisconsin,,,"1,307,526","1,007,263","25,217","11,741","62,969","35,474","142,054","1,128","21,680","473,648","566,210"
Wyoming,,,"123,325","94,686","3,001","1,041","6,574","3,711","12,468",138,"1,706","47,282","51,614"
Outlying areas,,,,,,,,,,,,,
