"Table 2.
Number of beneficiaries in current-payment status, by state or other area, type of benefit, and sex of beneficiaries aged 65 or older, December 2024",,,,,,,,,,,,,
State or area,,,Total,Retirement,,,Survivors,,Disability,,,Aged 65 or older,
,,,,Retired workers,Spouses,Children,Widow(er)s and parents,Children,Disabled workers,Spouses,Children,Men,Women
,,All areas,"68,455,973","51,772,651","1,861,801","713,777","3,734,707","2,050,895","7,231,147","85,960","1,005,035","24,737,238","30,383,001"
Alabama,,,"1,193,685","822,825","24,073","12,997","71,778","46,531","185,048","2,184","28,249","382,604","495,679"
Alaska,,,"118,014","91,481","2,500","2,020","5,518","4,978","9,901",121,"1,495","47,335","47,431"
Arizona,,,"1,533,323","1,212,252","38,006","16,166","76,720","42,300","128,877","1,540","17,462","575,058","692,087"
Arkansas,,,"726,942","501,220","12,051","7,600","41,791","26,765","118,043","1,267","18,205","235,562","295,682"
California,,,"6,544,000","5,120,435","258,397","83,143","350,365","163,616","498,873","7,666","61,505","2,510,346","2,988,781"
Colorado,,,"987,075","791,895","25,616","7,974","47,535","25,899","77,912",664,"9,580","385,598","449,682"
Connecticut,,,"737,503","582,671","15,010","7,753","33,320","18,654","70,379",577,"9,139","273,463","341,660"
Delaware,,,"248,565","198,391","3,833","1,800","11,125","6,711","23,705",173,"2,827","90,481","114,742"
District of Columbia,,,"85,682","64,753","1,365",840,"3,308","3,382","10,906",29,"1,099","29,623","38,433"
Florida,,,"5,161,992","4,063,202","130,558","50,852","259,410","123,775","465,720","5,657","62,818","1,922,785","2,339,576"
Georgia,,,"2,023,789","1,504,785","39,561","21,836","108,116","74,871","235,621","2,469","36,530","682,266","885,453"
Hawaii,,,"302,577","250,578","6,758","3,845","13,568","6,366","18,301",267,"2,894","118,837","141,129"
Idaho,,,"407,057","316,826","9,830","4,269","19,370","11,116","39,087",501,"6,058","154,079","177,204"
Illinois,,,"2,360,590","1,815,473","59,522","24,195","128,897","71,956","228,334","2,350","29,863","863,066","1,066,983"
Indiana,,,"1,447,416","1,071,434","27,674","13,548","79,772","51,178","177,322","1,799","24,689","500,445","631,907"
Iowa,,,"701,239","547,590","11,274","6,714","34,761","19,769","71,406",531,"9,194","257,769","314,490"
Kansas,,,"599,566","461,786","10,949","6,263","30,537","19,318","61,264",548,"8,901","217,764","267,799"
Kentucky,,,"1,036,142","698,981","24,416","10,443","68,079","41,284","166,839","2,838","23,262","340,590","416,203"
Louisiana,,,"953,188","636,891","33,271","10,367","76,356","43,860","129,915","2,202","20,326","323,680","391,244"
Maine,,,"375,793","283,387","7,059","3,645","17,522","9,915","46,767",464,"7,034","137,969","161,035"
Maryland,,,"1,092,693","856,554","22,167","10,530","51,029","34,306","103,984",577,"13,546","392,042","507,551"
Massachusetts,,,"1,348,171","1,031,409","30,238","14,757","59,203","35,472","153,966","1,028","22,098","495,210","608,224"
Michigan,,,"2,339,826","1,736,413","52,258","23,720","124,847","72,208","285,308","3,638","41,434","821,610","1,014,374"
Minnesota,,,"1,152,818","918,937","18,654","11,322","48,086","28,962","110,053",684,"16,120","434,471","519,002"
Mississippi,,,"699,697","482,049","12,139","8,955","42,146","32,756","103,671","1,397","16,584","222,320","284,580"
Missouri,,,"1,380,814","1,014,276","23,703","12,872","73,355","49,266","181,296","1,834","24,212","476,797","590,303"
Montana,,,"264,264","210,371","5,244","2,657","12,914","7,230","22,724",260,"2,864","103,265","115,561"
Nebraska,,,"378,332","295,551","6,189","3,808","18,378","11,427","37,084",246,"5,649","138,643","172,696"
Nevada,,,"607,411","480,128","13,586","5,836","29,168","15,975","55,387",568,"6,763","233,906","263,857"
New Hampshire,,,"343,052","265,404","5,234","2,835","13,774","7,948","40,419",235,"7,203","127,451","149,695"
New Jersey,,,"1,735,645","1,358,286","43,754","19,572","85,050","44,845","160,398","1,710","22,030","628,457","814,902"
New Mexico,,,"476,894","355,954","12,477","4,305","25,265","17,600","53,583",638,"7,072","171,263","204,909"
New York,,,"3,838,030","2,908,411","114,805","47,042","189,133","98,069","417,128","5,063","58,379","1,367,090","1,738,484"
North Carolina,,,"2,329,477","1,768,974","36,788","20,893","110,938","73,374","278,281","2,720","37,509","796,953","1,034,482"
North Dakota,,,"150,098","117,304","2,813","1,335","8,120","4,985","13,474",84,"1,983","57,149","66,635"
Ohio,,,"2,507,421","1,833,512","64,502","21,327","156,597","87,128","302,623","3,355","38,377","893,811","1,092,347"
Oklahoma,,,"853,382","610,260","17,774","8,774","52,260","32,563","113,899","1,356","16,496","289,414","360,363"
Oregon,,,"943,032","747,785","20,728","9,054","44,851","21,140","88,209",892,"10,373","356,896","429,693"
Pennsylvania,,,"2,981,684","2,255,780","64,415","26,651","159,015","84,300","342,791","3,450","45,282","1,064,743","1,339,680"
Rhode Island,,,"241,323","183,329","3,604","2,769","9,877","5,848","31,102",205,"4,589","85,199","107,370"
South Carolina,,,"1,297,829","985,737","21,533","11,399","65,811","41,898","149,108","1,548","20,795","448,655","571,893"
South Dakota,,,"201,259","161,231","3,152","1,711","9,372","6,239","17,161",122,"2,271","78,607","88,698"
Tennessee,,,"1,564,675","1,135,346","30,589","14,706","88,391","58,541","206,115","2,292","28,695","527,117","668,972"
Texas,,,"4,802,392","3,546,829","178,856","52,009","314,213","166,319","463,530","6,728","73,908","1,742,666","2,101,792"
Utah,,,"471,696","358,396","17,330","5,705","23,880","17,718","41,327",481,"6,859","176,116","207,904"
Vermont,,,"164,694","127,704","2,602","1,720","6,924","3,976","18,751",107,"2,910","61,805","71,968"
Virginia,,,"1,685,819","1,290,319","37,446","15,944","86,748","48,324","180,371","1,890","24,777","599,224","763,152"
Washington,,,"1,485,645","1,173,685","38,205","14,888","69,716","35,273","135,156","1,377","17,345","564,290","676,395"
West Virginia,,,"479,424","319,489","17,031","5,717","36,814","18,205","70,918","1,539","9,711","162,839","195,985"
Wisconsin,,,"1,365,446","1,077,180","20,568","12,497","60,124","36,304","138,357","1,007","19,409","505,317","600,195"
Wyoming,,,"129,564","102,068","2,631","1,070","6,482","3,759","11,941",100,"1,513","50,805","55,326"
Outlying areas,,,,,,,,,,,,,
