"Table 2.
Number of beneficiaries in current-payment status, by state or other area, type of benefit, and sex of beneficiaries aged 65 or older, December 2012",,,,,,,,,,,,,
State or area,,,Total,Retirement,,,Survivors,,Disability,,,Aged 65 or older,
,,,,Retired workers,Spouses,Children,Widow(er)s and parents,Children,Disabled workers,Spouses,Children,Men,Women
,,All areas,"56,758,185","36,720,492","2,280,662","612,256","4,348,486","1,907,096","8,826,591","162,550","1,900,052","17,371,829","22,241,925"
Alabama,,,"1,060,625","593,250","35,080","11,022","87,237","43,084","233,849","4,323","52,780","275,764","371,595"
Alaska,,,"84,875","54,559","2,625","1,717","5,247","4,626","12,931",199,"2,971","27,824","27,761"
Arizona,,,"1,141,080","784,817","43,242","11,489","76,874","34,875","154,917","2,667","32,199","373,723","446,928"
Arkansas,,,"657,754","379,402","19,738","6,471","49,945","25,383","140,597","2,622","33,596","179,087","231,266"
California,,,"5,280,104","3,549,028","262,033","70,840","380,125","164,167","704,936","13,086","135,889","1,728,672","2,111,223"
Colorado,,,"748,595","510,098","30,800","7,104","52,831","22,943","103,473","1,430","19,916","245,274","294,751"
Connecticut,,,"640,252","453,319","20,097","6,955","41,604","19,070","81,125",882,"17,200","207,899","276,497"
Delaware,,,"182,065","124,666","5,385","1,487","12,000","5,685","27,298",307,"5,237","57,128","72,641"
District of Columbia,,,"77,277","50,090","1,720",857,"4,972","3,504","14,183",41,"1,910","22,331","31,266"
Florida,,,"4,004,631","2,783,356","148,397","40,673","273,378","108,073","537,803","8,747","104,204","1,316,543","1,622,879"
Georgia,,,"1,582,070","993,356","47,142","17,458","116,930","65,560","277,169","4,432","60,023","442,958","588,487"
Hawaii,,,"240,456","178,594","7,847","3,708","15,412","6,331","23,281",463,"4,820","81,317","102,769"
Idaho,,,"288,285","191,857","11,631","3,035","20,008","8,798","42,382",881,"9,693","93,383","107,919"
Illinois,,,"2,102,955","1,399,029","81,232","23,924","168,138","74,427","289,906","5,000","61,299","653,483","860,214"
Indiana,,,"1,244,610","794,377","42,657","11,877","96,674","45,606","203,621","3,458","46,340","361,623","482,539"
Iowa,,,"600,699","413,055","22,901","5,661","48,680","18,158","76,228","1,040","14,976","191,607","253,436"
Kansas,,,"507,529","337,197","17,344","4,848","38,522","17,612","74,640",972,"16,394","156,689","205,483"
Kentucky,,,"930,153","503,830","36,654","8,398","82,622","36,257","209,409","5,493","47,490","246,274","318,327"
Louisiana,,,"826,385","440,231","45,084","9,871","91,275","43,272","154,283","4,534","37,835","228,607","295,813"
Maine,,,"314,392","197,320","10,536","2,844","21,811","8,345","58,922",927,"13,687","95,009","116,899"
Maryland,,,"895,225","609,720","29,211","8,534","63,636","32,645","126,323","1,098","24,058","277,811","372,102"
Massachusetts,,,"1,185,319","772,056","38,456","11,890","78,281","34,095","200,147","2,058","48,336","361,219","480,627"
Michigan,,,"2,061,941","1,297,959","79,594","22,556","158,238","70,102","346,803","6,826","79,863","598,952","774,256"
Minnesota,,,"927,488","642,820","32,726","8,630","64,745","25,772","124,641","1,303","26,851","298,938","379,157"
Mississippi,,,"621,969","348,425","17,666","7,862","50,272","30,788","132,246","2,650","32,060","159,643","215,805"
Missouri,,,"1,212,560","759,607","39,211","11,220","91,085","43,793","218,208","3,266","46,170","353,284","459,707"
Montana,,,"203,292","137,824","8,009","2,160","15,258","6,442","27,897",564,"5,138","67,981","77,347"
Nebraska,,,"317,489","216,593","11,881","2,865","24,984","9,848","42,016",511,"8,791","101,770","134,088"
Nevada,,,"442,298","309,668","14,070","4,502","27,366","13,175","61,166",781,"11,570","152,249","164,384"
New Hampshire,,,"271,189","178,404","7,366","2,191","15,681","6,821","47,094",494,"13,138","83,360","102,856"
New Jersey,,,"1,525,539","1,059,903","51,624","16,993","105,630","45,658","198,641","3,103","43,987","478,234","654,222"
New Mexico,,,"382,365","240,337","16,946","4,213","28,346","14,877","63,286","1,319","13,041","117,335","140,993"
New York,,,"3,394,475","2,242,732","129,255","42,329","235,710","100,995","517,071","9,283","117,100","1,023,114","1,388,405"
North Carolina,,,"1,859,584","1,209,099","47,079","16,955","123,119","63,251","329,366","4,954","65,761","532,591","713,335"
North Dakota,,,"122,104","81,397","6,204","1,061","12,270","4,143","14,187",198,"2,644","40,543","52,105"
Ohio,,,"2,204,313","1,379,221","101,897","20,287","203,397","77,902","345,176","6,271","70,162","667,037","870,325"
Oklahoma,,,"730,060","451,199","26,268","7,333","60,149","29,182","126,396","2,521","27,012","214,365","277,175"
Oregon,,,"757,029","523,412","28,052","8,070","52,666","19,208","105,885","1,946","17,790","245,306","299,241"
Pennsylvania,,,"2,660,380","1,739,572","99,874","23,622","218,133","81,003","403,388","7,144","87,644","802,008","1,092,308"
Rhode Island,,,"210,975","140,013","4,983","2,183","12,751","5,758","36,927",336,"8,024","62,196","85,549"
South Carolina,,,"986,228","629,017","26,153","9,569","69,470","35,610","177,534","2,853","36,022","282,908","367,322"
South Dakota,,,"159,453","110,409","6,352","1,357","13,042","5,213","19,032",230,"3,818","53,754","65,631"
Tennessee,,,"1,322,096","806,361","43,302","12,684","102,240","49,384","250,888","4,753","52,484","371,767","487,502"
Texas,,,"3,657,907","2,245,376","187,456","41,283","322,328","146,544","567,705","13,204","134,011","1,118,740","1,386,947"
Utah,,,"346,961","228,077","16,854","4,451","22,931","15,082","46,791",842,"11,933","111,160","133,747"
Vermont,,,"135,597","89,351","4,454","1,434","8,973","3,551","22,313",262,"5,259","42,377","51,918"
Virginia,,,"1,353,738","887,668","48,058","13,103","100,307","44,416","211,535","3,705","44,946","409,529","540,214"
Washington,,,"1,164,430","785,190","47,004","12,115","79,109","31,746","174,263","2,600","32,403","375,196","457,038"
West Virginia,,,"455,850","243,493","24,196","4,355","46,598","17,056","96,310","3,935","19,907","125,615","159,955"
Wisconsin,,,"1,110,160","758,614","35,017","10,682","78,231","32,721","157,689","2,245","34,961","346,787","443,151"
Wyoming,,,"96,294","66,192","3,534",862,"6,978","3,402","12,777",215,"2,334","32,446","37,072"
Outlying areas,,,,,,,,,,,,,
