"Table 3.
Amount of benefits in current-payment status, by state or other area, type of benefit, and sex of beneficiaries aged 65 or older, December 2015 (in thousands of dollars)",,,,,,,,,,,,,
State or area,,,Total,Retirement,,,Survivors,,Disability,,,Aged 65 or older,
,,,,Retired workers,Spouses,Children,Widow(er)s and parents,Children,Disabled workers,Spouses,Children,Men,Women
,,All areas,"73,642,029","53,790,278","1,612,415","422,191","5,194,659","1,575,147","10,386,494","45,141","615,703","28,962,810","28,185,992"
Alabama,,,"1,306,452","857,241","23,561","8,008","97,166","33,848","268,481","1,157","16,990","458,654","457,282"
Alaska,,,"107,985","79,377","1,986","1,072","6,394","3,753","14,507",57,839,"46,753","34,949"
Arizona,,,"1,576,939","1,207,692","32,896","8,431","99,151","29,019","188,488",790,"10,472","655,055","604,509"
Arkansas,,,"777,068","521,327","12,033","4,379","54,025","19,186","155,538",596,"9,985","279,203","274,500"
California,,,"6,902,807","5,177,295","184,039","47,883","467,708","137,877","837,359","4,196","46,451","2,820,970","2,702,067"
Colorado,,,"1,012,557","762,685","25,286","5,093","66,546","20,353","125,290",423,"6,881","426,999","380,404"
Connecticut,,,"901,648","701,155","17,658","5,010","54,924","17,263","99,221",243,"6,176","370,019","374,466"
Delaware,,,"263,587","201,060","4,568","1,115","16,018","5,011","33,936",88,"1,790","104,770","103,818"
District of Columbia,,,"92,474","67,386","1,689",490,"4,944","2,348","15,036",13,567,"32,687","38,813"
Florida,,,"5,382,979","4,111,836","104,666","27,855","343,609","89,313","666,606","2,591","36,503","2,200,784","2,106,017"
Georgia,,,"2,072,624","1,478,259","35,003","12,364","138,278","52,960","334,156","1,238","20,367","766,565","769,191"
Hawaii,,,"320,859","259,519","6,025","2,498","18,460","5,402","27,257",120,"1,578","131,722","136,125"
Idaho,,,"380,772","283,991","8,350","2,220","25,062","7,736","50,186",239,"2,990","159,816","136,435"
Illinois,,,"2,758,249","2,047,563","60,745","16,007","207,937","61,842","342,974","1,393","19,789","1,099,295","1,088,778"
Indiana,,,"1,662,631","1,200,487","31,596","8,730","122,519","38,595","245,075",965,"14,664","634,947","630,877"
Iowa,,,"775,036","590,753","15,544","3,871","57,961","15,227","86,768",268,"4,643","317,396","308,689"
Kansas,,,"669,240","499,868","13,351","3,515","47,664","14,342","85,235",274,"4,992","267,721","262,914"
Kentucky,,,"1,104,955","706,247","23,073","5,839","90,307","28,472","234,896","1,553","14,568","395,531","372,752"
Louisiana,,,"970,667","612,707","29,012","6,317","100,849","32,539","176,716","1,243","11,284","368,364","330,085"
Maine,,,"378,015","269,151","7,418","1,914","24,700","6,925","63,607",213,"4,087","148,991","137,178"
Maryland,,,"1,239,738","933,923","25,085","6,445","78,664","28,127","158,228",357,"8,908","478,734","507,580"
Massachusetts,,,"1,550,369","1,126,523","33,096","8,617","95,118","30,715","238,987",581,"16,731","607,725","609,235"
Michigan,,,"2,787,250","1,997,058","58,921","16,539","201,575","60,779","424,890","1,969","25,518","1,063,127","1,028,714"
Minnesota,,,"1,255,533","966,385","25,508","6,219","79,692","22,634","146,266",365,"8,464","517,420","491,957"
Mississippi,,,"730,844","482,872","11,052","5,224","53,142","22,544","145,865",612,"9,532","253,654","256,747"
Missouri,,,"1,518,403","1,076,287","27,197","7,723","106,942","34,439","250,727",849,"14,240","578,480","562,303"
Montana,,,"257,376","194,984","5,354","1,454","18,103","5,200","30,624",145,"1,512","109,883","93,811"
Nebraska,,,"407,988","309,921","8,561","2,066","29,718","8,635","46,351",107,"2,628","167,348","165,601"
Nevada,,,"613,347","467,673","10,287","3,312","35,893","11,776","80,046",274,"4,087","259,417","222,028"
New Hampshire,,,"374,386","276,899","6,859","1,703","20,306","6,419","57,652",127,"4,421","150,820","139,212"
New Jersey,,,"2,176,808","1,662,280","43,667","12,601","137,943","42,518","259,451",937,"17,410","851,295","910,084"
New Mexico,,,"469,318","336,627","10,980","2,606","31,792","10,961","72,146",342,"3,864","185,116","170,614"
New York,,,"4,498,413","3,341,923","97,170","29,383","289,049","87,584","611,369","2,651","39,283","1,708,855","1,835,799"
North Carolina,,,"2,448,986","1,797,143","35,807","12,299","144,592","50,852","385,051","1,230","22,011","912,493","936,299"
North Dakota,,,"148,605","111,603","3,586",660,"13,340","3,461","15,122",41,792,"63,473","58,335"
Ohio,,,"2,776,912","1,963,126","68,490","13,393","243,136","63,836","401,612","1,834","21,484","1,102,069","1,040,877"
Oklahoma,,,"899,398","632,229","17,417","4,990","69,856","23,155","143,033",657,"8,060","341,479","337,315"
Oregon,,,"1,025,635","779,444","21,866","5,809","67,218","16,760","127,771",569,"6,198","420,837","393,117"
Pennsylvania,,,"3,498,489","2,567,583","74,243","16,735","265,361","68,386","476,311","1,916","27,955","1,359,238","1,385,326"
Rhode Island,,,"272,007","200,563","3,972","1,524","15,658","4,883","42,659",87,"2,660","103,698","107,648"
South Carolina,,,"1,319,979","958,245","20,328","6,870","81,114","28,752","211,648",764,"12,258","502,844","486,676"
South Dakota,,,"198,746","153,447","3,959",848,"14,512","3,979","20,828",42,"1,130","85,818","76,358"
Tennessee,,,"1,676,300","1,177,825","30,803","9,183","116,692","39,038","285,215","1,164","16,379","625,462","614,962"
Texas,,,"4,661,488","3,302,216","132,520","27,769","382,058","119,864","652,213","3,587","41,260","1,879,943","1,716,713"
Utah,,,"468,330","346,789","14,511","3,119","30,664","13,559","55,774",228,"3,685","198,679","171,073"
Vermont,,,"175,425","130,639","3,659",936,"10,735","3,067","24,737",68,"1,583","70,904","66,887"
Virginia,,,"1,817,456","1,344,211","39,146","9,624","120,367","37,884","250,042","1,029","15,152","710,604","710,630"
Washington,,,"1,630,544","1,225,227","39,130","9,194","104,196","28,333","212,524",811,"11,129","670,734","624,082"
West Virginia,,,"554,556","352,616","15,677","3,211","53,408","13,668","108,545","1,213","6,218","205,474","188,957"
Wisconsin,,,"1,492,247","1,134,369","25,790","7,554","97,132","28,529","187,398",549,"10,926","600,240","570,727"
Wyoming,,,"130,787","99,403","2,627",627,"8,929","2,969","15,378",56,798,"56,443","47,025"
Outlying areas,,,,,,,,,,,,,
