"Table 3.
Amount of benefits in current-payment status, by state or other area, type of benefit, and sex of beneficiaries aged 65 or older, December 2024 (in thousands of dollars)",,,,,,,,,,,,,
State or area,,,Total,Retirement,,,Survivors,,Disability,,,Aged 65 or older,
,,,,Retired workers,Spouses,Children,Widow(er)s and parents,Children,Disabled workers,Spouses,Children,Men,Women
,,All areas,"125,577,970","102,268,471","1,732,599","655,088","6,617,163","2,324,891","11,430,894","37,105","511,758","54,368,713","53,474,772"
Alabama,,,"2,090,332","1,579,989","24,555","12,236","122,104","49,759","286,713",915,"14,060","829,646","850,920"
Alaska,,,"210,431","174,453","2,515","1,723","9,832","5,641","15,473",59,736,"101,315","79,196"
Arizona,,,"2,912,065","2,448,162","37,518","14,616","141,496","48,521","211,945",678,"9,127","1,291,232","1,258,209"
Arkansas,,,"1,230,800","928,294","11,415","6,777","68,248","28,294","178,718",492,"8,562","485,625","496,438"
California,,,"11,859,914","9,908,872","223,279","74,601","610,120","195,523","809,201","3,701","34,619","5,334,969","5,141,238"
Colorado,,,"1,898,697","1,612,924","27,868","7,683","89,104","31,438","124,255",308,"5,118","889,311","802,022"
Connecticut,,,"1,515,816","1,279,633","16,498","7,737","67,080","23,495","116,062",256,"5,055","671,884","670,727"
Delaware,,,"508,624","430,634","4,286","1,768","21,915","7,524","40,841",83,"1,574","218,190","226,933"
District of Columbia,,,"156,808","129,531","1,501",748,"5,510","3,410","15,556",14,538,"61,831","73,517"
Florida,,,"9,535,476","7,970,314","122,998","45,549","466,493","138,202","756,966","2,484","32,469","4,185,297","4,133,384"
Georgia,,,"3,615,025","2,895,846","39,740","19,707","187,475","80,733","372,439",975,"18,109","1,479,822","1,540,303"
Hawaii,,,"569,409","496,368","6,140","3,594","24,130","7,590","29,957",119,"1,511","253,301","258,703"
Idaho,,,"745,301","618,264","10,351","3,952","35,838","13,031","60,758",200,"2,907","342,029","302,511"
Illinois,,,"4,427,630","3,639,993","58,997","23,140","241,964","83,881","363,268","1,006","15,382","1,947,649","1,899,776"
Indiana,,,"2,721,711","2,179,229","29,638","12,902","151,401","57,306","278,385",751,"12,098","1,153,000","1,148,283"
Iowa,,,"1,308,091","1,090,836","11,847","6,036","64,555","22,797","107,539",198,"4,283","579,478","558,715"
Kansas,,,"1,144,556","949,050","12,050","5,983","57,568","21,951","93,499",222,"4,232","504,518","491,009"
Kentucky,,,"1,762,364","1,304,133","22,877","9,373","112,478","43,011","257,507","1,270","11,716","715,057","686,705"
Louisiana,,,"1,580,451","1,158,120","32,744","9,016","127,751","45,926","196,301","1,052","9,541","677,924","607,261"
Maine,,,"660,300","535,223","7,163","3,262","30,339","11,029","69,667",189,"3,428","291,083","270,902"
Maryland,,,"2,184,739","1,832,631","24,210","10,555","97,678","40,872","171,075",264,"7,453","920,562","991,723"
Massachusetts,,,"2,606,060","2,149,782","31,072","13,741","111,215","43,289","244,574",443,"11,944","1,148,512","1,126,567"
Michigan,,,"4,469,993","3,587,490","55,150","23,435","240,603","83,772","457,758","1,465","20,319","1,909,674","1,870,120"
Minnesota,,,"2,264,491","1,925,293","20,544","10,169","92,754","34,632","173,137",252,"7,711","1,014,493","977,100"
Mississippi,,,"1,159,386","874,551","11,545","7,718","68,096","33,102","155,982",558,"7,834","452,387","468,859"
Missouri,,,"2,473,605","1,964,150","24,659","11,618","130,566","52,376","278,010",725,"11,500","1,042,852","1,023,360"
Montana,,,"471,717","396,960","5,277","2,335","23,322","8,039","34,274",108,"1,402","218,127","194,425"
Nebraska,,,"709,432","594,293","6,504","3,488","34,190","13,274","55,076",95,"2,514","313,491","310,563"
Nevada,,,"1,101,251","915,296","12,836","5,190","52,620","18,908","92,583",268,"3,551","495,260","454,714"
New Hampshire,,,"695,363","579,595","6,183","2,828","27,268","9,782","65,854",93,"3,761","312,763","290,519"
New Jersey,,,"3,561,479","2,974,716","43,920","19,695","168,363","57,420","282,825",817,"13,723","1,518,777","1,611,243"
New Mexico,,,"823,195","663,896","11,581","3,755","42,085","18,113","80,110",295,"3,359","352,696","343,829"
New York,,,"7,201,627","5,869,819","100,686","43,957","345,498","118,555","688,220","2,301","32,591","2,987,739","3,192,400"
North Carolina,,,"4,296,714","3,502,579","38,947","19,292","195,196","79,192","441,395","1,056","19,056","1,769,633","1,860,674"
North Dakota,,,"271,619","226,224","2,847","1,191","14,640","5,679","20,046",33,959,"125,302","112,139"
Ohio,,,"4,463,410","3,525,682","65,400","19,235","282,830","92,826","458,110","1,437","17,890","1,953,951","1,839,608"
Oklahoma,,,"1,506,667","1,172,731","17,897","7,845","91,547","35,542","172,789",533,"7,783","623,272","623,212"
Oregon,,,"1,769,390","1,487,899","21,856","8,567","83,476","25,252","136,586",358,"5,397","790,396","769,660"
Pennsylvania,,,"5,689,601","4,629,541","67,663","25,163","299,164","97,156","546,186","1,472","23,255","2,441,707","2,458,924"
Rhode Island,,,"458,216","375,791","3,594","2,524","18,469","6,868","48,556",87,"2,327","194,536","198,739"
South Carolina,,,"2,414,996","1,967,825","23,273","10,819","115,641","45,282","240,791",620,"10,745","1,013,842","1,025,164"
South Dakota,,,"363,805","309,450","3,254","1,480","16,457","6,513","25,546",47,"1,059","170,064","150,203"
Tennessee,,,"2,817,441","2,223,023","32,061","13,875","153,435","61,438","318,816",885,"13,907","1,160,078","1,178,080"
Texas,,,"8,561,812","6,852,551","167,625","46,052","542,492","191,883","721,909","2,994","36,305","3,810,959","3,517,600"
Utah,,,"902,754","740,151","20,382","5,511","46,920","21,563","64,650",224,"3,352","422,602","364,005"
Vermont,,,"311,401","260,471","2,729","1,614","12,684","4,541","27,932",42,"1,389","138,128","133,270"
Virginia,,,"3,236,490","2,663,159","40,248","15,529","158,911","56,142","288,615",830,"13,056","1,382,916","1,411,547"
Washington,,,"2,923,511","2,464,006","41,334","14,579","134,969","43,624","215,291",628,"9,081","1,318,769","1,265,775"
West Virginia,,,"827,605","606,408","16,043","5,141","63,879","19,859","110,353",751,"5,173","345,296","325,122"
