"Table 3.
Amount of benefits in current-payment status, by state or other area, type of benefit, and sex of beneficiaries aged 65 or older, December 2012 (in thousands of dollars)",,,,,,,,,,,,,
State or area,,,Total,Retirement,,,Survivors,,Disability,,,Aged 65 or older,
,,,,Retired workers,Spouses,Children,Widow(er)s and parents,Children,Disabled workers,Spouses,Children,Men,Women
,,All areas,"65,430,104","46,327,075","1,428,684","378,036","5,107,327","1,523,923","9,977,027","49,385","638,646","24,837,116","24,247,081"
Alabama,,,"1,168,583","731,797","22,765","6,998","95,766","32,539","259,860","1,326","17,533","392,320","391,874"
Alaska,,,"92,955","65,483","1,614",949,"5,898","3,619","14,389",60,943,"37,870","28,552"
Arizona,,,"1,360,699","1,010,413","28,256","7,045","93,763","27,587","181,904",831,"10,898","546,056","498,695"
Arkansas,,,"703,762","453,473","11,959","3,863","53,490","18,549","151,316",715,"10,396","244,100","239,044"
California,,,"6,079,618","4,422,095","156,340","42,393","453,014","135,629","816,664","4,147","49,337","2,402,127","2,298,055"
Colorado,,,"870,965","637,479","20,527","4,532","63,775","19,316","118,012",438,"6,886","352,608","314,383"
Connecticut,,,"821,722","627,774","14,839","4,647","55,339","17,201","95,196",273,"6,452","329,238","335,244"
Delaware,,,"227,689","167,910","3,865","1,001","15,344","4,815","32,742",95,"1,917","87,736","85,495"
District of Columbia,,,"81,684","57,714","1,174",511,"5,076","2,425","14,162",15,606,"28,096","33,135"
Florida,,,"4,674,600","3,491,293","93,717","24,565","328,446","84,927","613,115","2,628","35,909","1,869,129","1,776,253"
Georgia,,,"1,795,757","1,235,483","31,033","10,921","132,078","50,581","314,293","1,234","20,132","636,984","635,357"
Hawaii,,,"282,090","223,285","4,689","2,272","17,798","5,263","26,984",143,"1,656","111,408","116,293"
Idaho,,,"326,189","235,725","7,534","1,843","24,117","7,117","46,695",238,"2,920","132,157","112,811"
Illinois,,,"2,512,699","1,813,488","54,295","15,149","210,379","61,975","334,801","1,554","21,058","967,405","971,390"
Indiana,,,"1,495,447","1,051,232","29,704","7,900","121,331","37,285","231,722","1,051","15,222","552,223","551,824"
Iowa,,,"700,508","520,365","14,980","3,515","59,620","14,911","82,126",280,"4,712","278,030","274,340"
Kansas,,,"601,445","436,523","11,881","3,079","48,082","14,148","82,261",284,"5,187","232,807","231,069"
Kentucky,,,"997,816","606,163","22,254","5,090","89,132","27,008","230,872","1,760","15,538","338,727","323,651"
Louisiana,,,"866,118","518,986","27,842","5,730","99,133","31,394","169,672","1,497","11,865","312,859","287,214"
Maine,,,"336,809","230,767","6,682","1,665","24,658","6,620","61,864",260,"4,292","127,532","118,129"
Maryland,,,"1,085,049","796,955","20,287","5,678","78,034","27,514","147,304",369,"8,908","408,769","429,388"
Massachusetts,,,"1,390,638","988,755","26,422","7,475","96,269","29,628","224,603",598,"16,889","528,574","536,976"
Michigan,,,"2,533,439","1,760,565","55,768","15,411","202,067","59,534","410,992","2,196","26,906","929,025","900,274"
Minnesota,,,"1,109,205","830,844","22,030","5,471","80,138","21,909","139,862",366,"8,584","442,536","420,329"
Mississippi,,,"655,778","412,844","10,872","4,611","52,164","21,861","142,527",730,"10,169","216,865","221,385"
Missouri,,,"1,374,633","944,909","25,787","6,973","107,076","33,523","240,472",937,"14,956","506,310","495,015"
Montana,,,"225,410","164,672","4,976","1,234","17,925","4,919","29,936",146,"1,603","92,582","79,557"
Nebraska,,,"365,955","270,463","7,719","1,787","30,294","7,866","44,970",132,"2,724","145,950","144,542"
Nevada,,,"521,764","388,473","8,925","2,736","33,279","10,983","73,009",246,"4,114","215,025","181,217"
New Hampshire,,,"327,226","235,573","5,345","1,462","19,828","6,181","54,234",145,"4,457","126,826","117,417"
New Jersey,,,"1,973,195","1,481,029","35,635","11,527","137,868","41,727","246,485",993,"17,932","754,744","804,844"
New Mexico,,,"411,126","284,640","10,026","2,389","31,013","10,414","68,354",387,"3,903","156,417","143,359"
New York,,,"4,103,101","2,966,776","83,049","27,101","290,400","86,573","603,876","2,931","42,395","1,507,346","1,623,643"
North Carolina,,,"2,144,964","1,520,383","31,289","10,744","138,559","48,909","371,107","1,389","22,585","767,220","785,185"
North Dakota,,,"133,623","96,251","3,732",618,"14,063","3,186","14,917",53,803,"54,678","52,033"
Ohio,,,"2,526,945","1,737,679","67,156","12,764","246,022","61,662","377,907","1,945","21,811","970,624","929,758"
Oklahoma,,,"809,696","550,999","16,547","4,401","68,726","21,976","138,047",733,"8,267","298,132","294,605"
Oregon,,,"893,645","662,113","18,756","5,082","65,176","15,987","119,805",580,"6,146","354,020","330,030"
Pennsylvania,,,"3,177,910","2,267,863","68,318","15,485","270,547","67,041","457,258","2,176","29,222","1,197,650","1,231,679"
Rhode Island,,,"246,717","178,490","3,327","1,329","15,598","4,742","40,473",96,"2,663","90,879","96,361"
South Carolina,,,"1,139,233","793,737","17,648","6,146","77,424","27,389","203,467",813,"12,609","412,230","400,453"
South Dakota,,,"174,758","130,474","3,850",752,"14,703","3,764","20,016",56,"1,143","72,691","65,831"
Tennessee,,,"1,489,353","1,006,118","28,519","8,183","114,636","37,156","276,279","1,365","17,097","532,247","524,997"
Texas,,,"4,060,142","2,763,815","115,432","24,167","366,405","113,299","630,730","4,050","42,243","1,572,389","1,440,317"
Utah,,,"403,433","291,151","11,832","2,683","28,629","12,449","52,618",257,"3,813","165,640","142,660"
Vermont,,,"155,705","112,844","2,985",897,"10,692","2,937","23,636",67,"1,647","60,662","57,032"
Virginia,,,"1,585,632","1,133,592","32,373","8,546","116,863","36,575","240,661","1,201","15,820","596,534","596,919"
Washington,,,"1,411,130","1,032,290","32,645","7,902","100,050","27,118","199,050",835,"11,240","561,562","518,794"
West Virginia,,,"506,295","303,167","15,102","2,688","52,996","13,073","111,156","1,439","6,675","177,447","166,212"
Wisconsin,,,"1,328,630","983,706","23,632","6,907","98,036","27,325","177,251",607,"11,167","516,045","495,988"
Wyoming,,,"113,249","83,829","2,396",551,"8,570","2,760","14,279",64,801,"47,359","39,740"
Outlying areas,,,,,,,,,,,,,
