"Table 3.
Amount of benefits in current-payment status, by state or other area, type of benefit, and sex of beneficiaries aged 65 or older, December 2021 (in thousands of dollars)",,,,,,,,,,,,,
State or area,,,Total,Retirement,,,Survivors,,Disability,,,Aged 65 or older,
,,,,Retired workers,Spouses,Children,Widow(er)s and parents,Children,Disabled workers,Spouses,Children,Men,Women
,,All areas,"99,804,910","78,413,357","1,818,884","537,620","5,833,092","1,933,356","10,699,469","36,277","532,857","41,978,764","41,101,975"
Alabama,,,"1,706,991","1,233,110","24,353","10,112","107,802","41,562","274,356",882,"14,815","650,426","660,553"
Alaska,,,"162,824","130,347","2,554","1,468","8,082","4,648","14,865",58,800,"76,305","58,415"
Arizona,,,"2,298,348","1,874,684","40,148","11,840","122,131","39,357","199,893",660,"9,635","1,001,741","958,363"
Arkansas,,,"1,005,891","732,407","11,869","5,659","59,673","23,890","163,091",465,"8,837","384,533","388,656"
California,,,"9,340,498","7,534,273","220,367","61,232","531,531","163,249","789,080","3,544","37,220","4,088,703","3,939,249"
Colorado,,,"1,467,937","1,200,924","31,018","6,458","77,670","25,594","120,299",358,"5,615","669,693","600,472"
Connecticut,,,"1,193,327","975,916","19,477","6,243","59,686","20,352","106,124",232,"5,298","514,608","516,327"
Delaware,,,"387,905","317,406","5,378","1,437","19,132","5,937","36,974",77,"1,564","162,756","166,730"
District of Columbia,,,"124,676","99,154","1,821",626,"5,121","2,822","14,630",7,495,"47,457","56,966"
Florida,,,"7,577,221","6,132,177","124,926","36,868","407,320","115,975","723,687","2,329","33,938","3,243,823","3,176,092"
Georgia,,,"2,869,160","2,206,254","40,096","16,171","162,436","66,608","357,730","1,012","18,852","1,135,264","1,169,111"
Hawaii,,,"449,099","382,062","7,130","2,949","21,485","6,464","27,462",119,"1,429","195,973","200,721"
Idaho,,,"574,812","461,090","10,318","3,184","30,889","10,512","55,721",194,"2,905","257,527","225,130"
Illinois,,,"3,564,381","2,828,644","64,966","19,088","218,249","71,107","344,708","1,046","16,573","1,521,492","1,485,592"
Indiana,,,"2,189,729","1,694,505","32,827","10,686","134,556","47,287","256,728",755,"12,385","898,953","892,688"
Iowa,,,"1,039,410","840,728","15,282","4,968","59,257","18,641","96,043",212,"4,279","451,117","433,758"
Kansas,,,"910,400","728,195","15,012","4,904","51,727","17,866","88,105",223,"4,367","390,051","379,271"
Kentucky,,,"1,438,656","1,019,674","23,378","7,763","100,424","36,055","237,753","1,212","12,397","562,512","533,755"
Louisiana,,,"1,287,133","899,530","31,570","7,806","112,550","38,481","186,295","1,035","9,865","532,004","470,613"
Maine,,,"521,038","405,736","8,240","2,555","26,926","8,937","64,954",168,"3,522","223,150","204,979"
Maryland,,,"1,710,224","1,379,246","28,132","8,652","86,663","34,754","164,599",306,"7,871","699,897","751,298"
Massachusetts,,,"2,061,173","1,625,073","35,957","10,978","100,586","36,816","237,740",456,"13,567","875,246","862,039"
Michigan,,,"3,611,694","2,795,609","60,135","19,714","216,795","71,078","425,893","1,448","21,023","1,490,545","1,453,463"
Minnesota,,,"1,756,202","1,444,723","28,719","8,303","84,308","28,339","154,010",286,"7,513","769,948","737,790"
Mississippi,,,"951,295","688,320","11,522","6,429","60,194","27,740","148,431",528,"8,131","356,888","367,380"
Missouri,,,"1,990,464","1,525,269","27,683","9,499","115,903","42,888","256,673",685,"11,863","813,380","794,171"
Montana,,,"368,099","299,295","5,844","1,910","20,809","6,642","32,029",109,"1,462","166,567","146,121"
Nebraska,,,"559,398","453,226","8,819","2,804","31,534","10,846","49,596",91,"2,482","241,955","239,833"
Nevada,,,"872,772","706,383","12,394","4,446","44,987","15,326","85,317",229,"3,689","385,294","346,825"
New Hampshire,,,"534,012","426,404","7,902","2,212","24,016","8,222","61,221",109,"3,925","231,275","215,683"
New Jersey,,,"2,823,697","2,283,490","49,833","15,716","149,045","49,119","261,374",763,"14,357","1,170,479","1,249,354"
New Mexico,,,"655,876","510,837","12,095","3,186","36,991","14,266","74,714",265,"3,524","274,713","263,483"
New York,,,"5,804,433","4,583,696","107,769","35,681","311,105","100,830","629,596","2,127","33,628","2,338,890","2,509,058"
North Carolina,,,"3,388,657","2,674,043","42,044","15,724","169,716","64,007","402,585","1,005","19,534","1,357,481","1,414,835"
North Dakota,,,"211,034","170,049","3,441",923,"13,704","4,541","17,512",30,834,"95,275","85,342"
Ohio,,,"3,596,930","2,740,915","68,399","15,788","254,540","77,727","420,145","1,431","17,987","1,530,225","1,431,427"
Oklahoma,,,"1,204,224","908,245","18,683","6,416","79,505","28,581","154,787",507,"7,499","485,138","483,125"
Oregon,,,"1,420,319","1,156,068","25,397","7,346","75,460","20,604","129,437",413,"5,595","623,273","595,551"
Pennsylvania,,,"4,573,216","3,591,417","77,186","20,565","273,443","82,316","502,991","1,463","23,834","1,902,839","1,918,325"
Rhode Island,,,"362,689","286,073","4,372","2,031","16,910","5,920","44,889",80,"2,414","148,921","152,298"
South Carolina,,,"1,886,729","1,482,113","24,432","8,961","98,501","36,786","224,209",604,"11,123","769,746","767,723"
South Dakota,,,"283,326","234,267","4,062","1,173","15,152","5,117","22,428",41,"1,085","129,953","114,490"
Tennessee,,,"2,257,993","1,717,632","33,601","11,586","134,779","50,289","294,881",901,"14,323","901,750","907,947"
Texas,,,"6,664,498","5,124,554","157,698","37,422","459,174","155,806","688,831","2,943","38,069","2,876,752","2,640,440"
Utah,,,"693,526","549,683","19,637","4,396","39,273","17,744","59,158",227,"3,408","315,637","272,563"
Vermont,,,"245,387","197,566","3,813","1,334","11,536","3,832","25,866",44,"1,395","105,982","101,378"
Virginia,,,"2,538,995","2,018,548","43,633","12,718","138,879","46,397","264,542",846,"13,433","1,056,364","1,071,125"
Washington,,,"2,303,623","1,872,199","46,795","12,036","119,523","35,306","207,576",644,"9,544","1,014,769","963,512"
West Virginia,,,"692,161","487,226","16,140","4,220","57,267","16,707","104,351",839,"5,411","280,091","259,503"
Wisconsin,,,"2,046,456","1,662,791","27,305","9,496","103,858","34,637","198,299",416,"9,654","883,254","833,172"
