"Table 3.
Amount of benefits in current-payment status, by state or other area, type of benefit, and sex of beneficiaries aged 65 or older, December 2022 (in thousands of dollars)",,,,,,,,,,,,,
State or area,,,Total,Retirement,,,Survivors,,Disability,,,Aged 65 or older,
,,,,Retired workers,Spouses,Children,Widow(er)s and parents,Children,Disabled workers,Spouses,Children,Men,Women
,,All areas,"111,421,667","88,679,497","1,822,570","584,613","6,324,926","2,155,885","11,277,672","37,155","539,349","47,329,774","46,487,937"
Alabama,,,"1,889,214","1,387,271","25,163","10,871","116,581","45,961","287,388",906,"15,073","730,849","745,513"
Alaska,,,"183,662","148,734","2,536","1,645","9,044","5,215","15,619",58,811,"86,879","66,954"
Arizona,,,"2,569,996","2,120,730","39,865","12,873","133,246","44,610","208,426",669,"9,577","1,127,402","1,087,251"
Arkansas,,,"1,113,085","821,017","12,059","6,158","65,030","26,431","172,908",488,"8,993","430,171","437,765"
California,,,"10,436,876","8,524,713","225,254","66,447","576,973","180,696","822,035","3,623","37,134","4,609,806","4,451,200"
Colorado,,,"1,650,988","1,369,434","30,578","6,955","84,802","28,849","124,430",339,"5,602","760,673","683,876"
Connecticut,,,"1,334,885","1,103,795","18,799","6,931","64,525","22,235","113,008",254,"5,336","580,927","582,293"
Delaware,,,"439,772","364,668","5,047","1,563","20,767","6,763","39,308",75,"1,581","185,907","191,903"
District of Columbia,,,"138,711","111,904","1,766",680,"5,438","3,143","15,254",8,518,"53,441","64,137"
Florida,,,"8,490,838","6,953,959","126,946","40,625","444,676","128,928","759,022","2,416","34,267","3,667,422","3,605,241"
Georgia,,,"3,205,178","2,498,208","40,834","17,459","177,276","74,383","376,687","1,044","19,288","1,282,647","1,328,564"
Hawaii,,,"503,166","432,029","6,889","3,238","23,190","7,156","29,040",131,"1,492","221,366","226,223"
Idaho,,,"647,993","525,984","10,602","3,503","33,875","11,868","58,972",192,"2,996","292,656","257,773"
Illinois,,,"3,952,153","3,177,798","63,771","20,550","234,181","78,393","359,944","1,034","16,483","1,704,469","1,666,810"
Indiana,,,"2,435,324","1,905,894","32,234","11,566","145,331","53,098","273,822",801,"12,580","1,009,636","1,005,627"
Iowa,,,"1,161,578","949,491","14,298","5,461","63,561","20,990","103,247",200,"4,331","506,916","489,304"
Kansas,,,"1,018,122","824,970","14,191","5,369","55,886","20,204","92,829",211,"4,461","440,290","428,695"
Kentucky,,,"1,592,922","1,145,392","23,700","8,468","108,741","40,202","252,520","1,286","12,614","631,215","601,684"
Louisiana,,,"1,430,357","1,014,568","33,044","8,352","122,344","42,986","197,898","1,066","10,098","598,923","531,461"
Maine,,,"584,809","462,203","8,082","2,806","29,030","9,972","68,946",167,"3,603","252,931","233,537"
Maryland,,,"1,913,753","1,564,458","27,052","9,324","94,062","38,304","172,268",303,"7,981","790,368","852,040"
Massachusetts,,,"2,303,138","1,845,603","34,878","11,952","107,968","40,519","248,283",468,"13,468","990,430","975,529"
Michigan,,,"4,006,249","3,143,186","59,438","21,278","232,914","78,612","448,187","1,460","21,174","1,673,996","1,636,672"
Minnesota,,,"1,979,069","1,648,947","26,038","9,054","90,664","31,869","164,537",264,"7,697","874,445","839,389"
Mississippi,,,"1,051,669","771,347","11,865","6,945","65,305","30,769","156,604",564,"8,268","399,979","413,011"
Missouri,,,"2,215,715","1,718,917","27,249","10,397","125,628","48,163","272,697",678,"11,987","914,658","895,991"
Montana,,,"414,265","341,138","5,765","2,067","22,544","7,476","33,660",108,"1,506","188,740","166,958"
Nebraska,,,"626,556","513,846","8,144","3,058","33,650","12,189","53,026",92,"2,552","272,822","270,894"
Nevada,,,"972,786","795,070","12,777","4,787","49,098","17,344","89,703",266,"3,741","432,283","392,671"
New Hampshire,,,"602,248","489,403","7,319","2,406","26,003","9,184","63,908",94,"3,932","264,407","247,040"
New Jersey,,,"3,147,563","2,575,217","48,131","17,085","161,155","54,014","276,656",794,"14,511","1,315,725","1,405,172"
New Mexico,,,"732,866","578,609","12,127","3,392","40,309","16,470","78,169",286,"3,503","309,471","298,945"
New York,,,"6,440,333","5,144,995","106,792","39,028","333,685","110,894","668,604","2,188","34,147","2,618,987","2,810,107"
North Carolina,,,"3,794,228","3,031,883","41,925","17,110","185,107","72,328","424,965","1,032","19,876","1,536,272","1,608,533"
North Dakota,,,"237,884","194,095","3,331","1,032","14,600","5,144","18,775",28,879,"108,339","96,788"
Ohio,,,"3,993,516","3,081,545","68,980","17,051","274,075","86,582","445,390","1,450","18,442","1,716,088","1,611,791"
Oklahoma,,,"1,345,413","1,026,185","18,821","6,955","86,770","32,348","165,977",545,"7,812","546,403","545,970"
Oregon,,,"1,582,498","1,303,807","24,435","7,873","81,228","22,900","136,164",379,"5,713","698,957","673,379"
Pennsylvania,,,"5,085,579","4,045,266","74,810","22,408","292,805","91,701","532,945","1,492","24,153","2,137,364","2,157,927"
Rhode Island,,,"405,624","324,369","4,134","2,214","18,247","6,591","47,533",79,"2,457","168,679","172,007"
South Carolina,,,"2,121,373","1,689,862","24,473","9,811","108,329","41,469","235,570",605,"11,254","874,866","878,236"
South Dakota,,,"320,010","267,022","3,839","1,309","16,454","5,795","24,411",46,"1,134","147,427","130,437"
Tennessee,,,"2,513,871","1,938,595","33,842","12,665","146,843","56,375","310,038",901,"14,612","1,014,651","1,027,809"
Texas,,,"7,502,621","5,848,363","164,608","40,695","505,418","176,648","725,204","3,003","38,682","3,270,124","3,015,182"
Utah,,,"784,010","628,778","20,374","4,862","43,276","19,835","63,167",222,"3,495","360,405","311,137"
Vermont,,,"275,700","225,113","3,462","1,444","12,499","4,221","27,501",41,"1,419","120,429","115,323"
Virginia,,,"2,844,152","2,289,881","43,096","13,810","150,801","51,890","280,215",894,"13,565","1,194,075","1,215,515"
Washington,,,"2,577,039","2,123,937","45,493","13,092","129,155","39,368","215,720",644,"9,631","1,145,377","1,092,705"
West Virginia,,,"759,139","541,953","16,526","4,592","61,568","18,703","109,552",838,"5,406","310,848","289,531"
Wisconsin,,,"2,292,436","1,888,889","25,731","10,295","111,589","38,569","207,401",416,"9,547","1,000,160","944,629"
