"Table 3.
Amount of benefits in current-payment status, by state or other area, type of benefit, and sex of beneficiaries aged 65 or older, December 2016 (in thousands of dollars)",,,,,,,,,,,,,
State or area,,,Total,Retirement,,,Survivors,,Disability,,,Aged 65 or older,
,,,,Retired workers,Spouses,Children,Widow(er)s and parents,Children,Disabled workers,Spouses,Children,Men,Women
,,All areas,"75,917,962","56,082,551","1,678,368","434,777","5,184,802","1,585,244","10,316,342","43,633","592,245","30,211,526","29,413,592"
Alabama,,,"1,341,514","895,762","23,722","8,234","96,454","34,273","265,556","1,101","16,413","478,322","476,694"
Alaska,,,"113,938","84,896","2,190","1,142","6,522","3,803","14,494",53,839,"49,825","37,389"
Arizona,,,"1,643,717","1,271,120","34,780","8,813","100,390","29,477","188,194",766,"10,177","689,015","639,521"
Arkansas,,,"795,729","541,541","11,970","4,506","53,606","19,324","154,593",561,"9,627","288,785","285,080"
California,,,"7,126,458","5,407,482","193,722","49,533","468,115","137,912","821,386","4,093","44,215","2,946,555","2,823,606"
Colorado,,,"1,052,599","801,823","27,165","5,207","66,854","20,555","123,957",416,"6,622","450,006","401,337"
Connecticut,,,"922,735","721,790","18,715","5,090","54,336","17,377","99,276",240,"5,910","381,401","385,571"
Delaware,,,"274,916","211,562","4,866","1,153","16,155","5,045","34,304",85,"1,746","110,191","109,784"
District of Columbia,,,"95,379","70,358","1,780",517,"4,947","2,297","14,911",14,554,"34,006","40,600"
Florida,,,"5,584,296","4,303,891","109,316","28,794","346,355","90,489","667,494","2,521","35,435","2,302,081","2,210,762"
Georgia,,,"2,147,409","1,551,035","36,260","12,674","139,081","53,373","333,989","1,199","19,797","803,246","811,098"
Hawaii,,,"331,474","270,160","6,545","2,523","18,590","5,334","26,705",127,"1,489","137,785","142,277"
Idaho,,,"398,558","300,665","8,679","2,337","25,287","7,876","50,541",241,"2,933","169,189","144,980"
Illinois,,,"2,823,703","2,117,272","63,166","16,297","205,381","61,551","339,661","1,370","19,005","1,138,528","1,122,900"
Indiana,,,"1,706,346","1,244,523","32,335","8,968","122,093","38,918","244,460",937,"14,111","659,805","655,401"
Iowa,,,"795,782","611,843","16,066","3,966","57,107","15,503","86,603",266,"4,427","329,537","319,738"
Kansas,,,"689,743","520,552","14,101","3,708","47,099","14,560","84,656",274,"4,794","279,500","273,229"
Kentucky,,,"1,132,277","735,602","23,209","6,045","90,041","28,870","233,011","1,497","14,002","412,300","387,645"
Louisiana,,,"1,001,883","644,104","29,225","6,581","100,713","32,582","176,662","1,178","10,836","386,004","343,693"
Maine,,,"389,823","280,924","7,695","1,961","24,575","7,034","63,461",203,"3,970","155,701","143,044"
Maryland,,,"1,281,271","974,584","26,421","6,645","78,079","28,368","158,288",370,"8,516","499,689","531,173"
Massachusetts,,,"1,590,928","1,167,999","35,015","8,834","93,668","31,040","237,766",561,"16,044","631,435","631,036"
Michigan,,,"2,850,592","2,067,238","60,044","16,749","200,289","60,676","419,447","1,850","24,298","1,102,787","1,067,541"
Minnesota,,,"1,296,913","1,008,266","27,323","6,460","78,979","22,804","144,677",370,"8,034","541,299","515,782"
Mississippi,,,"749,026","503,133","11,134","5,353","53,345","22,563","143,843",578,"9,078","263,951","267,788"
Missouri,,,"1,554,999","1,116,181","27,772","7,787","106,163","34,612","248,216",798,"13,470","600,234","583,326"
Montana,,,"268,148","205,565","5,591","1,531","18,138","5,275","30,433",136,"1,478","115,616","99,045"
Nebraska,,,"420,808","322,575","9,078","2,203","29,509","8,732","46,045",114,"2,553","174,142","172,845"
Nevada,,,"638,063","490,349","10,746","3,413","36,398","11,903","80,961",277,"4,015","271,520","234,184"
New Hampshire,,,"388,252","289,896","7,425","1,745","20,442","6,530","57,832",127,"4,255","158,128","146,494"
New Jersey,,,"2,225,451","1,712,466","46,625","13,044","136,441","42,152","257,094",954,"16,677","878,269","939,911"
New Mexico,,,"485,568","352,606","11,316","2,660","31,808","11,102","71,972",315,"3,789","193,275","179,348"
New York,,,"4,599,203","3,448,429","101,984","30,012","286,805","87,501","604,348","2,561","37,563","1,765,392","1,898,451"
North Carolina,,,"2,530,940","1,881,196","37,750","12,668","145,342","51,287","380,285","1,180","21,234","956,826","983,724"
North Dakota,,,"154,076","117,006","3,579",697,"13,207","3,510","15,250",45,784,"66,553","60,620"
Ohio,,,"2,839,739","2,029,503","68,891","13,429","240,148","64,572","400,858","1,763","20,575","1,140,746","1,073,868"
Oklahoma,,,"925,736","658,661","17,885","5,177","69,957","23,284","142,341",620,"7,811","355,142","350,531"
Oregon,,,"1,063,195","816,088","23,090","5,983","67,336","16,792","127,301",551,"6,055","441,684","413,882"
Pennsylvania,,,"3,581,701","2,654,759","76,505","17,049","261,327","68,816","474,586","1,830","26,830","1,408,357","1,432,114"
Rhode Island,,,"279,187","207,401","4,286","1,580","15,526","4,855","42,845",89,"2,605","107,486","111,387"
South Carolina,,,"1,372,112","1,010,548","21,090","7,065","81,868","28,875","210,166",726,"11,775","530,073","515,469"
South Dakota,,,"205,702","160,401","4,074",901,"14,296","4,082","20,793",44,"1,110","89,865","79,712"
Tennessee,,,"1,726,649","1,228,295","31,546","9,527","116,711","39,531","284,138","1,103","15,798","652,037","642,746"
Texas,,,"4,854,798","3,486,487","138,120","29,130","385,196","121,408","650,687","3,500","40,270","1,980,366","1,806,272"
Utah,,,"489,367","365,815","15,666","3,273","31,293","13,899","55,605",241,"3,577","210,054","180,984"
Vermont,,,"181,120","136,436","3,877",967,"10,583","3,048","24,597",68,"1,546","73,854","70,323"
Virginia,,,"1,885,766","1,410,412","40,819","9,906","120,655","38,252","250,066",999,"14,657","745,200","746,986"
Washington,,,"1,696,167","1,287,638","41,468","9,517","104,637","28,714","212,513",814,"10,865","704,539","658,523"
West Virginia,,,"565,260","366,645","15,777","3,383","52,586","13,881","105,927","1,156","5,904","213,653","195,487"
Wisconsin,,,"1,538,938","1,181,208","26,846","7,829","96,197","28,615","187,195",521,"10,527","627,236","594,998"
Wyoming,,,"137,056","105,119","2,773",666,"9,073","2,999","15,585",59,781,"59,750","49,511"
Outlying areas,,,,,,,,,,,,,
