"Table 2.
Number of beneficiaries in current-payment status, by state or other area, type of benefit, and sex of beneficiaries aged 65 or older, December 2016",,,,,,,,,,,,,
State or area,,,Total,Retirement,,,Survivors,,Disability,,,Aged 65 or older,
,,,,Retired workers,Spouses,Children,Widow(er)s and parents,Children,Disabled workers,Spouses,Children,Men,Women
,,All areas,"60,907,307","41,233,126","2,371,074","661,944","4,138,134","1,892,959","8,808,736","134,680","1,666,654","19,751,456","24,755,261"
Alabama,,,"1,120,486","669,776","32,679","12,037","81,760","43,116","230,951","3,475","46,692","312,242","410,330"
Alaska,,,"95,500","65,342","2,977","1,923","5,375","4,638","12,532",177,"2,536","33,990","33,441"
Arizona,,,"1,274,815","916,047","47,037","13,623","77,298","35,407","154,824","2,341","28,238","441,360","525,022"
Arkansas,,,"685,361","418,853","17,636","7,038","46,581","25,158","138,619","2,037","29,439","197,264","250,731"
California,,,"5,754,771","4,049,771","289,750","77,761","372,180","157,038","682,668","11,637","113,966","1,994,059","2,405,580"
Colorado,,,"830,604","590,238","34,563","7,627","51,509","23,193","104,206","1,206","18,062","290,680","342,842"
Connecticut,,,"664,688","481,923","22,028","7,192","38,266","18,490","81,330",735,"14,724","225,117","292,200"
Delaware,,,"201,748","144,280","5,826","1,621","11,809","5,837","27,481",260,"4,634","66,659","84,477"
District of Columbia,,,"81,274","54,638","2,093",796,"4,411","3,155","14,451",40,"1,690","24,559","33,697"
Florida,,,"4,431,473","3,181,656","154,492","45,027","270,971","109,900","562,750","7,962","98,715","1,516,272","1,849,478"
Georgia,,,"1,751,227","1,157,084","48,708","19,263","114,674","66,272","284,601","4,043","56,582","523,174","685,518"
Hawaii,,,"261,513","200,592","9,215","3,837","14,997","6,032","22,275",405,"4,160","94,154","115,862"
Idaho,,,"325,247","226,694","11,826","3,564","19,642","9,360","44,174",824,"9,163","111,317","127,232"
Illinois,,,"2,196,032","1,522,000","83,792","24,107","154,134","70,695","284,951","4,169","52,184","720,937","921,640"
Indiana,,,"1,318,046","875,768","41,208","12,812","91,083","46,030","207,660","2,908","40,577","404,766","527,518"
Iowa,,,"630,014","448,784","21,227","6,064","43,608","18,210","77,750",911,"13,460","211,389","270,015"
Kansas,,,"535,673","370,764","17,670","5,501","35,357","17,406","73,768",846,"14,361","174,782","222,164"
Kentucky,,,"972,352","566,353","34,198","9,388","77,540","37,033","203,471","4,373","39,996","278,547","348,172"
Louisiana,,,"882,185","506,448","42,593","10,572","86,482","42,740","156,737","3,452","33,161","261,194","325,218"
Maine,,,"334,291","221,235","10,518","3,156","20,337","8,508","57,979",678,"11,880","108,050","129,105"
Maryland,,,"966,632","681,024","32,177","9,266","58,923","31,963","130,269",981,"22,029","313,843","414,761"
Massachusetts,,,"1,246,936","837,720","43,427","13,198","71,304","34,427","202,428","1,707","42,725","401,340","515,708"
Michigan,,,"2,162,113","1,425,674","76,654","23,146","147,017","68,949","346,000","5,675","68,998","669,176","845,297"
Minnesota,,,"994,806","716,577","34,156","9,723","59,070","25,807","124,537","1,137","23,799","339,993","420,378"
Mississippi,,,"653,352","393,012","16,146","8,491","47,643","30,228","128,746","2,036","27,050","181,080","237,229"
Missouri,,,"1,269,508","832,355","36,850","11,855","84,641","43,679","217,590","2,697","39,841","391,343","496,915"
Montana,,,"223,401","159,645","7,821","2,452","14,390","6,613","27,567",461,"4,452","79,382","88,325"
Nebraska,,,"335,361","237,200","11,801","3,290","22,726","10,349","41,726",383,"7,886","112,397","145,604"
Nevada,,,"506,324","366,270","15,252","5,313","28,369","13,713","65,717",784,"10,906","181,458","196,974"
New Hampshire,,,"294,322","200,675","8,585","2,482","15,017","7,109","48,091",392,"11,971","96,163","116,073"
New Jersey,,,"1,597,052","1,137,556","58,715","18,303","97,678","44,118","199,405","2,622","38,655","522,530","702,124"
New Mexico,,,"416,674","275,576","16,763","4,379","27,216","15,043","64,822","1,010","11,865","135,260","160,651"
New York,,,"3,546,954","2,436,860","141,132","44,452","218,891","97,488","502,062","7,445","98,624","1,132,780","1,501,271"
North Carolina,,,"2,020,386","1,382,757","48,850","18,848","119,033","63,265","325,037","4,050","58,546","618,901","813,140"
North Dakota,,,"127,962","90,200","5,188","1,108","10,702","4,307","13,926",150,"2,381","44,949","55,025"
Ohio,,,"2,311,984","1,508,888","93,615","20,394","187,078","79,523","354,548","5,448","62,490","737,402","930,955"
Oklahoma,,,"768,889","497,084","24,828","8,081","57,115","29,383","126,364","2,047","23,987","236,675","300,759"
Oregon,,,"836,215","599,645","29,983","8,947","51,030","19,251","108,974","1,705","16,680","287,194","345,173"
Pennsylvania,,,"2,768,956","1,883,880","97,860","24,592","197,421","79,905","404,049","5,652","75,597","880,677","1,160,876"
Rhode Island,,,"220,420","149,847","5,467","2,430","11,893","5,677","37,393",276,"7,437","68,667","90,383"
South Carolina,,,"1,089,728","737,196","27,255","10,266","67,764","35,881","176,723","2,386","32,257","337,301","429,170"
South Dakota,,,"171,594","124,445","5,693","1,490","11,833","5,386","19,081",175,"3,491","61,168","72,034"
Tennessee,,,"1,412,299","910,021","42,172","13,975","96,778","50,213","249,055","3,787","46,298","424,310","543,269"
Texas,,,"4,024,516","2,618,163","199,354","46,524","316,703","148,081","564,733","10,850","120,108","1,307,993","1,594,626"
Utah,,,"385,942","263,496","19,399","4,934","23,279","15,886","47,560",721,"10,667","130,282","155,359"
Vermont,,,"144,889","99,547","4,881","1,474","8,264","3,551","22,325",234,"4,613","48,404","58,042"
Virginia,,,"1,471,294","1,010,928","51,738","14,314","95,587","44,263","211,614","2,945","39,905","472,269","610,998"
Washington,,,"1,291,198","904,793","52,001","13,812","77,404","31,969","178,805","2,368","30,046","439,559","530,276"
West Virginia,,,"470,240","272,938","23,112","5,106","43,086","17,355","89,508","2,939","16,196","140,620","172,670"
Wisconsin,,,"1,189,455","845,036","34,419","11,485","71,700","33,018","160,929","1,768","31,100","394,280","486,560"
Wyoming,,,"106,720","76,221","3,550",955,"6,799","3,487","13,323",178,"2,207","37,723","42,117"
Outlying areas,,,,,,,,,,,,,
