"Table 2.
Number of beneficiaries in current-payment status, by state or other area, type of benefit, and sex of beneficiaries aged 65 or older, December 2015",,,,,,,,,,,,,
State or area,,,Total,Retirement,,,Survivors,,Disability,,,Aged 65 or older,
,,,,Retired workers,Spouses,Children,Widow(er)s and parents,Children,Disabled workers,Spouses,Children,Men,Women
,,All areas,"59,963,425","40,089,061","2,335,807","648,530","4,190,676","1,892,885","8,909,430","141,760","1,755,276","19,144,628","24,098,571"
Alabama,,,"1,108,543","650,081","33,164","11,889","83,390","42,962","234,229","3,695","49,133","302,770","400,716"
Alaska,,,"91,960","62,053","2,799","1,830","5,336","4,589","12,620",183,"2,550","32,318","31,780"
Arizona,,,"1,241,101","882,106","45,628","13,120","77,174","35,210","155,862","2,423","29,578","424,142","504,309"
Arkansas,,,"679,689","408,790","18,120","6,899","47,485","25,199","140,027","2,165","31,004","192,880","245,627"
California,,,"5,651,601","3,927,555","282,044","75,862","375,012","158,609","699,241","12,204","121,074","1,929,340","2,334,143"
Colorado,,,"813,266","570,807","33,280","7,538","51,954","23,246","105,960","1,281","19,200","279,493","330,943"
Connecticut,,,"659,238","474,950","21,364","7,173","39,075","18,457","81,784",746,"15,689","220,868","288,252"
Delaware,,,"196,651","139,447","5,649","1,566","11,831","5,774","27,385",265,"4,734","64,202","81,466"
District of Columbia,,,"80,546","53,579","2,053",772,"4,493","3,233","14,612",38,"1,766","24,050","33,097"
Florida,,,"4,334,337","3,081,274","151,687","43,984","271,702","109,287","565,238","8,247","102,918","1,465,483","1,790,381"
Georgia,,,"1,714,145","1,117,129","48,164","18,864","115,341","66,005","285,889","4,244","58,509","504,178","661,026"
Hawaii,,,"256,912","195,436","8,805","3,846","15,073","6,153","22,800",402,"4,397","91,041","112,585"
Idaho,,,"315,571","217,186","11,688","3,405","19,720","9,232","44,090",825,"9,425","106,494","121,708"
Illinois,,,"2,174,883","1,490,706","82,551","23,896","157,732","71,420","288,827","4,369","55,382","703,389","905,579"
Indiana,,,"1,301,948","855,326","41,192","12,580","92,406","45,829","208,908","3,036","42,671","393,339","515,336"
Iowa,,,"622,906","439,571","21,217","5,953","44,761","17,980","78,222",945,"14,257","205,861","265,024"
Kansas,,,"528,174","361,490","17,285","5,279","36,170","17,297","74,677",862,"15,114","169,524","217,350"
Kentucky,,,"963,497","551,152","34,740","9,133","78,723","36,636","206,175","4,629","42,309","270,375","340,528"
Louisiana,,,"868,017","488,273","43,205","10,296","87,629","42,908","157,310","3,668","34,728","252,439","317,268"
Maine,,,"329,559","215,126","10,451","3,092","20,706","8,421","58,476",713,"12,574","104,616","125,890"
Maryland,,,"952,251","664,164","31,528","9,133","60,300","31,833","131,074",999,"23,220","305,042","404,326"
Massachusetts,,,"1,236,248","821,212","42,328","12,941","73,218","34,307","205,060","1,784","45,398","391,389","506,784"
Michigan,,,"2,141,824","1,393,156","76,816","22,993","149,534","69,255","350,684","6,020","73,366","650,889","826,208"
Minnesota,,,"979,776","698,101","33,096","9,438","60,464","25,744","126,390","1,194","25,349","328,924","408,715"
Mississippi,,,"647,420","381,880","16,381","8,343","48,181","30,465","131,143","2,187","28,840","175,784","231,331"
Missouri,,,"1,258,256","813,569","37,106","11,796","86,146","43,548","220,596","2,878","42,617","381,288","486,390"
Montana,,,"217,758","153,554","7,755","2,367","14,567","6,554","27,848",506,"4,607","76,304","85,116"
Nebraska,,,"330,309","231,481","11,517","3,108","23,170","10,271","42,162",378,"8,222","109,375","142,026"
Nevada,,,"492,121","353,170","14,924","5,190","28,159","13,593","65,211",813,"11,061","174,821","189,132"
New Hampshire,,,"288,891","195,087","8,167","2,429","15,095","6,954","48,223",410,"12,526","93,016","112,418"
New Jersey,,,"1,583,456","1,118,670","56,518","17,785","99,859","44,649","202,497","2,685","40,793","511,371","690,041"
New Mexico,,,"408,931","266,801","16,694","4,362","27,465","15,007","65,167","1,108","12,327","131,038","155,524"
New York,,,"3,513,125","2,388,547","137,484","43,701","222,704","98,122","510,196","7,813","104,558","1,105,184","1,471,715"
North Carolina,,,"1,984,962","1,339,587","47,839","18,420","120,100","63,068","330,353","4,275","61,320","596,878","787,295"
North Dakota,,,"125,786","87,569","5,362","1,054","10,965","4,304","13,917",150,"2,465","43,596","54,004"
Ohio,,,"2,290,813","1,476,557","95,318","20,422","191,239","78,533","356,826","5,778","66,140","719,199","915,089"
Oklahoma,,,"758,912","484,224","24,852","7,817","57,711","29,429","127,565","2,147","25,167","230,602","294,300"
Oregon,,,"818,228","580,498","29,261","8,775","51,507","19,336","109,815","1,807","17,229","276,410","332,903"
Pennsylvania,,,"2,744,424","1,847,485","97,554","24,248","202,520","79,682","407,320","6,005","79,610","858,939","1,141,474"
Rhode Island,,,"217,881","147,006","5,247","2,372","12,101","5,701","37,476",288,"7,690","66,938","88,772"
South Carolina,,,"1,066,150","709,839","26,976","10,117","68,153","35,996","178,822","2,508","33,739","323,996","412,794"
South Dakota,,,"168,626","120,981","5,770","1,428","12,154","5,306","19,212",176,"3,599","59,247","70,284"
Tennessee,,,"1,392,164","884,653","42,274","13,587","98,135","49,885","251,021","4,050","48,559","411,521","528,786"
Texas,,,"3,928,648","2,516,258","195,753","44,920","317,793","147,871","569,586","11,330","125,137","1,258,027","1,539,830"
Utah,,,"375,685","253,880","18,459","4,770","23,117","15,597","47,923",727,"11,212","125,025","149,310"
Vermont,,,"142,755","96,840","4,759","1,446","8,518","3,596","22,565",247,"4,784","46,976","56,370"
Virginia,,,"1,443,127","979,680","51,046","14,066","96,719","44,160","212,711","3,095","41,650","456,606","592,708"
Washington,,,"1,260,474","873,750","50,425","13,472","77,930","31,733","179,674","2,442","31,048","423,255","511,010"
West Virginia,,,"468,120","265,919","23,321","4,882","44,224","17,222","91,995","3,132","17,425","136,723","169,514"
Wisconsin,,,"1,170,705","822,488","34,083","11,196","73,240","33,005","161,864","1,923","32,906","381,196","474,072"
Wyoming,,,"103,689","73,301","3,470",919,"6,802","3,485","13,252",176,"2,284","36,201","40,723"
Outlying areas,,,,,,,,,,,,,
