"Table 2.
Number of beneficiaries in current-payment status, by state or other area, type of benefit, and sex of beneficiaries aged 65 or older, December 2013",,,,,,,,,,,,,
State or area,,,Total,Retirement,,,Survivors,,Disability,,,Aged 65 or older,
,,,,Retired workers,Spouses,Children,Widow(er)s and parents,Children,Disabled workers,Spouses,Children,Men,Women
,,All areas,"57,978,610","37,892,659","2,285,636","625,339","4,290,073","1,898,904","8,940,950","156,672","1,888,377","17,996,650","22,868,858"
Alabama,,,"1,081,046","612,315","34,299","11,301","85,880","43,149","237,304","4,143","52,655","285,540","381,515"
Alaska,,,"86,861","56,809","2,636","1,757","5,228","4,610","12,809",176,"2,836","29,348","28,945"
Arizona,,,"1,174,944","816,833","43,677","12,012","76,610","34,984","156,298","2,585","31,945","390,783","464,974"
Arkansas,,,"666,172","389,390","19,118","6,669","49,151","25,258","140,953","2,403","33,230","184,133","236,348"
California,,,"5,414,499","3,677,319","266,683","72,597","377,897","162,175","711,206","12,947","133,675","1,797,123","2,184,961"
Colorado,,,"774,056","532,629","31,208","7,354","52,457","23,145","105,715","1,391","20,157","257,839","307,342"
Connecticut,,,"648,466","462,058","20,416","7,048","40,685","18,900","81,570",872,"16,917","213,293","281,215"
Delaware,,,"187,246","129,888","5,419","1,506","11,881","5,649","27,468",294,"5,141","59,633","75,716"
District of Columbia,,,"78,416","51,057","1,768",765,"4,798","3,446","14,646",32,"1,904","22,827","31,807"
Florida,,,"4,114,745","2,879,458","148,425","41,832","271,446","107,899","551,858","8,598","105,229","1,365,258","1,675,789"
Georgia,,,"1,632,953","1,037,318","47,254","17,899","116,362","65,560","283,114","4,444","61,002","464,610","613,616"
Hawaii,,,"246,477","184,442","8,048","3,797","15,306","6,329","23,328",448,"4,779","84,601","106,085"
Idaho,,,"298,269","200,540","11,580","3,171","19,924","8,895","43,423",879,"9,857","97,954","112,507"
Illinois,,,"2,133,829","1,433,504","81,160","23,958","164,656","73,307","291,729","4,887","60,628","671,766","876,346"
Indiana,,,"1,267,542","816,258","41,793","12,087","95,080","45,486","207,522","3,390","45,926","373,136","493,655"
Iowa,,,"609,067","422,005","22,031","5,725","47,484","18,195","77,493",975,"15,159","196,225","256,958"
Kansas,,,"515,969","345,873","17,143","5,028","37,742","17,462","75,521",969,"16,231","161,300","209,544"
Kentucky,,,"944,041","520,804","36,049","8,674","81,170","36,312","209,584","5,180","46,268","255,018","326,360"
Louisiana,,,"842,160","456,112","44,465","10,124","89,762","43,175","156,752","4,284","37,486","236,737","302,442"
Maine,,,"320,482","203,734","10,507","2,940","21,336","8,315","59,274",846,"13,530","98,412","120,172"
Maryland,,,"917,497","629,322","29,641","8,857","62,517","32,394","129,435","1,056","24,275","288,018","383,177"
Massachusetts,,,"1,206,184","789,860","39,381","12,304","76,497","34,120","203,672","1,928","48,422","372,612","489,692"
Michigan,,,"2,098,078","1,332,234","78,213","22,686","155,374","69,677","353,667","6,661","79,566","617,583","792,371"
Minnesota,,,"948,229","662,906","32,291","8,891","63,300","25,777","126,696","1,298","27,070","309,404","389,401"
Mississippi,,,"632,191","360,086","17,215","7,976","49,469","30,799","132,736","2,526","31,384","165,295","220,743"
Missouri,,,"1,232,526","779,231","38,280","11,464","89,403","43,691","221,430","3,139","45,888","363,669","468,833"
Montana,,,"208,546","143,298","7,742","2,253","14,964","6,564","28,170",547,"5,008","70,818","79,802"
Nebraska,,,"321,882","221,875","11,572","2,866","24,344","9,864","42,192",471,"8,698","104,484","136,599"
Nevada,,,"459,536","324,383","14,306","4,727","27,660","13,154","62,983",781,"11,542","160,065","172,607"
New Hampshire,,,"278,664","184,849","7,552","2,317","15,522","6,720","48,139",454,"13,111","87,162","106,528"
New Jersey,,,"1,548,525","1,081,314","52,681","17,271","103,508","45,454","201,536","3,028","43,733","490,468","666,545"
New Mexico,,,"392,306","249,317","16,758","4,266","28,079","14,832","64,559","1,290","13,205","121,978","145,813"
New York,,,"3,444,200","2,295,428","131,287","42,744","231,133","99,657","519,601","8,834","115,516","1,052,337","1,417,624"
North Carolina,,,"1,907,394","1,255,185","46,868","17,494","121,879","62,768","332,799","4,755","65,646","555,829","739,019"
North Dakota,,,"123,363","83,395","5,862","1,072","11,868","4,218","14,135",190,"2,623","41,545","52,645"
Ohio,,,"2,239,797","1,413,984","99,296","20,264","199,095","77,688","353,033","6,140","70,297","685,819","885,791"
Oklahoma,,,"741,822","462,687","25,635","7,569","59,299","29,337","127,973","2,423","26,899","220,343","282,945"
Oregon,,,"777,832","542,426","28,215","8,445","52,150","19,130","107,732","1,902","17,832","255,766","309,946"
Pennsylvania,,,"2,697,111","1,778,673","98,696","23,791","212,287","80,224","409,657","6,781","87,002","823,229","1,109,458"
Rhode Island,,,"214,095","142,813","5,006","2,243","12,492","5,772","37,312",324,"8,133","63,881","86,828"
South Carolina,,,"1,014,683","655,835","26,305","9,728","68,773","35,454","179,893","2,742","35,953","296,561","382,003"
South Dakota,,,"162,695","114,092","6,093","1,389","12,730","5,200","19,216",209,"3,766","55,744","67,169"
Tennessee,,,"1,348,004","833,350","42,684","12,931","100,768","49,447","252,532","4,522","51,770","386,178","501,673"
Texas,,,"3,756,420","2,336,147","189,907","42,567","320,634","146,459","574,276","12,791","133,639","1,166,802","1,437,756"
Utah,,,"356,984","236,488","17,192","4,577","22,985","15,366","47,616",833,"11,927","115,876","138,693"
Vermont,,,"138,418","92,111","4,505","1,412","8,859","3,598","22,534",258,"5,141","44,032","53,594"
Virginia,,,"1,384,419","919,957","48,818","13,382","99,013","44,288","211,424","3,508","44,029","426,484","558,074"
Washington,,,"1,197,824","814,852","47,691","12,567","78,509","31,578","177,421","2,489","32,717","391,396","474,611"
West Virginia,,,"460,494","251,474","23,858","4,514","45,667","17,167","95,060","3,642","19,112","129,767","163,280"
Wisconsin,,,"1,134,358","781,525","34,352","11,019","76,513","32,878","160,842","2,199","35,030","358,706","453,786"
Wyoming,,,"99,134","68,743","3,437",887,"6,886","3,457","13,106",201,"2,417","33,824","38,336"
Outlying areas,,,,,,,,,,,,,
