"Table 1.
Beneficiaries as a percentage of the total resident population and of the population aged 65 or older, by state, December 2024",,,,,
State,,Total population,,Population aged 65 or older,
,,Number a,"Percentage
receiving benefits",Number a,"Percentage
receiving benefits"
,United States,"340,110,988",19.7,"61,179,918",87.9
Alabama,,"5,157,699",23.1,"955,901",91.9
Alaska,,"740,133",15.9,"109,206",86.8
Arizona,,"7,582,384",20.2,"1,488,452",85.1
Arkansas,,"3,088,354",23.5,"562,842",94.4
California,,"39,431,263",16.6,"6,521,873",84.3
Colorado,,"5,957,493",16.6,"975,901",85.6
Connecticut,,"3,675,069",20.1,"714,203",86.1
Delaware,,"1,051,917",23.6,"229,028",89.6
District of Columbia,,"702,250",12.2,"90,959",74.8
Florida,,"23,372,215",22.1,"5,091,262",83.7
Georgia,,"11,180,878",18.1,"1,760,341",89.1
Hawaii,,"1,446,146",20.9,"310,324",83.8
Idaho,,"2,001,619",20.3,"354,407",93.5
Illinois,,"12,710,158",18.6,"2,271,298",85.0
Indiana,,"6,924,275",20.9,"1,213,910",93.3
Iowa,,"3,241,488",21.6,"612,379",93.4
Kansas,,"2,970,606",20.2,"528,177",91.9
Kentucky,,"4,588,372",22.6,"826,695",91.5
Louisiana,,"4,597,740",20.7,"814,527",87.8
Maine,,"1,405,012",26.7,"330,265",90.5
Maryland,,"6,263,220",17.4,"1,102,000",81.6
Massachusetts,,"7,136,171",18.9,"1,336,934",82.5
Michigan,,"10,140,459",23.1,"1,985,923",92.4
Minnesota,,"5,793,151",19.9,"1,057,147",90.2
Mississippi,,"2,943,045",23.8,"528,787",95.9
Missouri,,"6,245,466",22.1,"1,169,583",91.2
Montana,,"1,137,233",23.2,"239,351",91.4
Nebraska,,"2,005,465",18.9,"349,449",89.1
Nevada,,"3,267,467",18.6,"575,966",86.4
New Hampshire,,"1,409,032",24.3,"303,344",91.4
New Jersey,,"9,500,851",18.3,"1,706,102",84.6
New Mexico,,"2,130,256",22.4,"429,581",87.6
New York,,"19,867,248",19.3,"3,754,552",82.7
North Carolina,,"11,046,024",21.1,"1,974,069",92.8
North Dakota,,"796,568",18.8,"137,764",89.9
Ohio,,"11,883,304",21.1,"2,269,539",87.5
Oklahoma,,"4,095,393",20.8,"691,883",93.9
Oregon,,"4,272,371",22.1,"850,804",92.5
Pennsylvania,,"13,078,751",22.8,"2,665,932",90.2
Rhode Island,,"1,112,308",21.7,"218,599",88.1
South Carolina,,"5,478,831",23.7,"1,076,945",94.8
South Dakota,,"924,669",21.8,"173,800",96.3
Tennessee,,"7,227,750",21.6,"1,277,959",93.6
Texas,,"31,290,831",15.3,"4,362,712",88.1
