"Table 3.
Amount of benefits in current-payment status, by state or other area, type of benefit, and sex of beneficiaries aged 65 or older, December 2018 (in thousands of dollars)",,,,,,,,,,,,,
State or area,,,Total,Retirement,,,Survivors,,Disability,,,Aged 65 or older,
,,,,Retired workers,Spouses,Children,Widow(er)s and parents,Children,Disabled workers,Spouses,Children,Men,Women
,,All areas,"84,419,840","63,890,793","1,824,995","481,182","5,383,982","1,690,697","10,532,470","41,524","574,198","34,392,442","33,445,724"
Alabama,,,"1,474,866","1,018,179","24,467","9,058","100,145","36,186","270,057","1,011","15,762","541,360","541,368"
Alaska,,,"131,038","100,891","2,481","1,255","7,059","3,919","14,564",54,816,"59,379","44,417"
Arizona,,,"1,874,030","1,480,379","39,273","10,215","107,488","32,236","193,709",750,"9,979","799,155","749,743"
Arkansas,,,"870,892","609,597","12,135","4,969","55,370","20,570","158,454",509,"9,288","323,404","321,004"
California,,,"7,934,876","6,174,047","214,041","55,124","487,806","144,376","813,757","4,031","41,695","3,361,794","3,216,862"
Colorado,,,"1,202,184","940,652","30,854","5,740","70,628","22,177","125,381",400,"6,352","528,738","470,092"
Connecticut,,,"1,018,496","808,720","20,233","5,630","55,959","18,326","103,602",240,"5,785","428,293","429,583"
Delaware,,,"314,296","247,377","5,437","1,347","17,200","5,420","35,707",86,"1,723","127,738","129,281"
District of Columbia,,,"106,681","81,033","1,899",596,"4,986","2,475","15,138",16,539,"39,173","46,528"
Florida,,,"6,265,243","4,920,603","120,950","32,103","364,760","97,830","691,402","2,591","35,005","2,623,225","2,534,698"
Georgia,,,"2,410,603","1,784,725","39,656","14,289","147,095","57,282","346,570","1,134","19,852","922,975","937,057"
Hawaii,,,"371,053","307,482","7,207","2,649","19,527","5,763","26,850",134,"1,441","157,547","161,976"
Idaho,,,"458,453","354,038","9,600","2,696","27,015","8,776","53,124",216,"2,988","198,725","171,594"
Illinois,,,"3,096,652","2,371,683","67,904","17,848","208,687","64,571","346,306","1,270","18,384","1,278,687","1,248,253"
Indiana,,,"1,877,338","1,402,287","34,312","9,801","125,593","41,589","249,331",871,"13,554","745,569","737,723"
Iowa,,,"881,676","690,848","17,184","4,334","57,619","16,455","90,604",245,"4,388","372,479","359,267"
Kansas,,,"767,704","591,659","15,782","4,152","48,374","15,747","87,097",257,"4,635","318,648","309,096"
Kentucky,,,"1,240,569","835,436","24,182","6,757","93,491","31,102","234,796","1,322","13,483","465,726","437,622"
Louisiana,,,"1,108,708","736,876","31,109","7,176","104,582","34,188","182,898","1,202","10,676","439,313","388,488"
Maine,,,"434,514","322,115","8,371","2,214","25,240","7,815","64,708",190,"3,861","178,386","163,376"
Maryland,,,"1,435,633","1,116,578","28,775","7,539","80,821","30,721","162,437",353,"8,408","570,931","608,164"
Massachusetts,,,"1,759,294","1,325,859","37,894","9,787","95,606","33,175","241,115",558,"15,299","717,943","709,862"
Michigan,,,"3,124,432","2,324,116","63,328","18,044","205,390","63,996","424,585","1,767","23,206","1,240,788","1,201,428"
Minnesota,,,"1,457,200","1,158,607","31,266","7,208","80,187","24,731","147,021",378,"7,802","622,587","592,407"
Mississippi,,,"823,767","570,339","11,619","5,844","55,739","23,953","147,029",587,"8,657","297,901","302,945"
Missouri,,,"1,705,313","1,256,962","29,223","8,499","108,497","36,877","251,732",784,"12,738","673,991","654,749"
Montana,,,"302,993","238,216","5,975","1,684","18,847","5,621","31,059",126,"1,466","133,905","114,769"
Nebraska,,,"468,676","367,111","9,849","2,424","30,043","9,344","47,227",110,"2,568","197,807","195,497"
Nevada,,,"723,071","566,861","11,811","4,012","39,106","13,152","83,868",282,"3,981","311,808","273,387"
New Hampshire,,,"438,065","334,711","8,563","1,947","21,515","7,099","59,930",122,"4,178","183,043","169,356"
New Jersey,,,"2,436,037","1,909,809","51,488","14,233","139,589","44,018","260,274",919,"15,707","981,643","1,045,403"
New Mexico,,,"549,452","409,748","12,290","2,880","33,685","12,044","74,667",305,"3,833","222,731","209,421"
New York,,,"5,045,039","3,860,140","111,267","32,737","293,752","91,337","617,214","2,379","36,213","1,979,267","2,117,383"
North Carolina,,,"2,832,908","2,159,879","41,853","13,989","153,662","55,086","386,681","1,116","20,640","1,097,575","1,134,762"
North Dakota,,,"174,522","135,711","3,719",774,"13,288","3,897","16,271",42,820,"77,183","68,758"
Ohio,,,"3,105,357","2,275,441","71,064","14,518","244,174","69,449","409,514","1,582","19,616","1,277,920","1,194,625"
Oklahoma,,,"1,023,523","744,866","19,044","5,743","72,718","24,933","147,859",575,"7,785","400,439","395,782"
Oregon,,,"1,194,143","938,330","25,705","6,541","70,172","18,107","128,839",513,"5,936","508,695","478,559"
Pennsylvania,,,"3,934,741","2,979,999","81,250","18,726","264,003","73,830","489,442","1,700","25,791","1,584,036","1,600,302"
Rhode Island,,,"308,441","233,850","4,803","1,731","15,874","5,277","44,242",89,"2,574","121,637","125,078"
South Carolina,,,"1,554,025","1,174,925","23,594","7,941","87,315","31,098","216,839",677,"11,637","614,835","602,171"
South Dakota,,,"232,719","185,750","4,410","1,010","14,457","4,320","21,616",43,"1,113","103,775","91,821"
Tennessee,,,"1,912,866","1,397,961","33,737","10,338","121,681","42,490","290,047","1,055","15,557","739,899","733,006"
Texas,,,"5,495,664","4,054,722","150,691","32,982","409,075","131,041","673,326","3,357","40,469","2,296,670","2,090,702"
Utah,,,"558,663","427,355","17,869","3,722","33,852","15,294","56,867",237,"3,466","245,885","211,991"
Vermont,,,"203,538","157,155","4,206","1,121","10,856","3,258","25,381",59,"1,502","85,029","80,732"
Virginia,,,"2,121,868","1,624,778","44,011","11,241","126,555","40,934","259,014",942,"14,391","856,679","859,954"
Washington,,,"1,913,736","1,489,901","46,406","10,610","109,721","30,739","215,042",784,"10,532","814,228","764,110"
West Virginia,,,"613,058","410,838","16,207","3,701","54,099","14,871","106,490","1,046","5,807","238,719","218,105"
Wisconsin,,,"1,717,582","1,346,045","29,486","8,665","98,280","30,405","193,794",493,"10,414","716,820","675,977"
Wyoming,,,"155,824","121,935","3,116",751,"9,607","3,185","16,405",63,762,"69,741","57,095"
