"Table 2.
Number of beneficiaries in current-payment status, by state or other area, type of benefit, and sex of beneficiaries aged 65 or older, December 2021",,,,,,,,,,,,,
State or area,,,Total,Retirement,,,Survivors,,Disability,,,Aged 65 or older,
,,,,Retired workers,Spouses,Children,Widow(er)s and parents,Children,Disabled workers,Spouses,Children,Men,Women
,,All areas,"65,228,238","47,292,977","2,165,865","687,269","3,888,166","1,975,881","7,877,129","96,063","1,244,888","22,732,468","28,063,098"
Alabama,,,"1,163,871","760,698","27,612","12,587","75,339","44,638","205,681","2,405","34,911","354,155","460,262"
Alaska,,,"110,006","81,718","2,894","2,042","5,416","4,815","11,023",151,"1,947","42,652","42,144"
Arizona,,,"1,449,120","1,105,267","45,184","15,460","78,274","39,981","141,322","1,713","21,919","530,490","634,712"
Arkansas,,,"709,191","468,117","14,405","7,488","43,154","26,302","125,981","1,425","22,319","219,924","277,114"
California,,,"6,166,205","4,636,107","280,801","80,290","357,843","158,316","565,270","8,429","79,149","2,292,996","2,745,009"
Colorado,,,"925,084","709,963","32,430","7,956","49,249","24,560","87,507",850,"12,569","350,312","408,599"
Connecticut,,,"699,597","532,298","19,471","7,417","35,113","18,600","74,895",616,"11,187","250,713","317,037"
Delaware,,,"229,047","175,408","5,344","1,682","11,562","6,142","25,286",185,"3,438","80,872","102,268"
District of Columbia,,,"83,228","60,292","1,785",815,"3,677","3,247","12,097",20,"1,295","27,367","36,471"
Florida,,,"4,909,642","3,720,938","147,681","48,222","267,242","120,466","520,045","6,244","78,804","1,771,771","2,156,311"
Georgia,,,"1,918,848","1,359,691","45,040","20,960","110,983","71,106","262,794","2,931","45,343","619,045","804,253"
Hawaii,,,"286,863","230,841","8,470","3,716","14,341","6,235","19,617",305,"3,338","109,906","132,270"
Idaho,,,"377,904","282,455","11,331","4,049","19,823","10,565","41,769",571,"7,341","138,799","158,868"
Illinois,,,"2,271,926","1,676,914","72,666","23,438","136,968","70,385","251,128","2,753","37,674","801,007","998,396"
Indiana,,,"1,388,573","987,268","34,766","12,911","83,681","48,724","189,432","2,039","29,752","461,268","587,147"
Iowa,,,"668,984","503,615","16,466","6,474","37,818","18,797","74,363",609,"10,842","238,973","294,726"
Kansas,,,"573,476","422,971","15,444","6,045","32,493","18,359","66,682",616,"10,866","200,867","249,168"
Kentucky,,,"1,010,012","647,855","28,545","10,106","71,665","40,000","179,822","3,135","28,884","316,480","388,025"
Louisiana,,,"924,881","583,793","37,246","10,437","79,729","42,803","143,284","2,495","25,094","299,261","362,457"
Maine,,,"359,152","258,610","9,206","3,412","18,496","9,333","50,945",480,"8,670","126,908","148,052"
Maryland,,,"1,038,041","777,516","28,661","10,094","53,947","33,590","116,464",704,"17,065","358,904","467,557"
Massachusetts,,,"1,295,088","939,694","38,077","13,901","63,458","35,206","173,945","1,157","29,650","454,078","564,543"
Michigan,,,"2,253,295","1,600,554","64,374","23,142","132,812","70,229","307,554","4,016","50,614","757,616","941,413"
Minnesota,,,"1,082,519","829,789","29,295","10,676","52,033","27,513","114,022",799,"18,392","396,457","477,468"
Mississippi,,,"681,844","446,981","13,849","8,660","44,189","31,842","114,383","1,544","20,396","205,909","265,214"
Missouri,,,"1,329,084","936,580","30,240","12,271","77,123","46,783","194,556","1,981","29,550","441,202","549,668"
Montana,,,"248,513","189,757","6,689","2,563","13,671","6,994","24,869",319,"3,651","94,222","104,955"
Nebraska,,,"360,240","270,312","9,484","3,621","20,123","10,881","38,910",262,"6,647","128,189","161,675"
Nevada,,,"571,841","438,116","14,748","5,867","29,419","15,079","59,661",597,"8,354","215,282","239,623"
New Hampshire,,,"321,925","236,601","7,646","2,602","14,450","7,714","43,702",274,"8,936","114,203","135,541"
New Jersey,,,"1,652,973","1,244,222","53,624","18,529","89,029","44,464","173,632","1,809","27,664","578,047","759,360"
New Mexico,,,"455,414","326,068","14,726","4,331","26,166","16,061","58,346",678,"9,038","158,631","189,175"
New York,,,"3,680,521","2,684,406","130,559","44,722","199,852","96,244","447,428","5,307","72,003","1,261,015","1,628,586"
North Carolina,,,"2,202,898","1,611,146","44,814","19,720","114,752","68,099","296,199","2,950","45,218","727,779","945,844"
North Dakota,,,"140,668","105,753","3,967","1,217","9,092","4,632","13,797",88,"2,122","52,147","61,603"
Ohio,,,"2,409,265","1,689,343","77,031","20,420","166,308","84,029","322,274","3,809","46,051","826,918","1,016,445"
Oklahoma,,,"813,941","561,018","21,085","8,442","53,832","30,413","118,777","1,464","18,910","267,200","334,933"
Oregon,,,"910,086","695,077","27,244","9,101","47,848","20,116","96,685","1,113","12,902","335,925","401,938"
Pennsylvania,,,"2,878,165","2,088,154","82,292","25,308","172,163","82,762","368,244","3,940","55,302","986,710","1,258,149"
Rhode Island,,,"230,763","167,529","4,708","2,637","10,659","5,834","33,535",218,"5,643","78,151","99,415"
South Carolina,,,"1,215,646","883,812","25,704","11,011","66,880","39,351","161,614","1,694","25,580","404,953","514,578"
South Dakota,,,"189,232","146,407","4,527","1,616","10,256","5,729","17,723",139,"2,835","71,938","82,038"
Tennessee,,,"1,503,361","1,044,660","36,794","14,401","92,126","55,120","222,515","2,662","35,083","486,881","619,750"
Texas,,,"4,475,805","3,149,545","189,980","49,585","314,188","158,275","513,527","7,693","93,012","1,564,359","1,890,000"
Utah,,,"438,581","319,644","19,755","5,433","23,881","17,112","43,781",575,"8,400","158,765","187,942"
Vermont,,,"157,587","116,636","4,048","1,691","7,474","3,871","20,214",135,"3,518","56,953","66,608"
Virginia,,,"1,598,078","1,174,814","45,981","15,366","90,389","46,004","192,934","2,181","30,409","548,870","701,323"
Washington,,,"1,413,306","1,068,554","48,634","14,609","73,354","33,218","151,348","1,635","21,954","519,883","623,871"
West Virginia,,,"475,824","302,162","19,741","5,435","38,978","17,848","77,602","1,942","12,116","154,747","187,081"
Wisconsin,,,"1,289,260","976,275","28,906","11,853","64,405","34,686","147,961","1,198","23,976","460,424","551,687"
Wyoming,,,"120,816","91,386","3,293","1,043","6,622","3,649","12,878",152,"1,793","45,658","50,088"
Outlying areas,,,,,,,,,,,,,
